,ResponseId,Q3_recoded,Q4,Q10,rp_intent,notes
5,R_1qbbEWvLKLKk5cO,Methods,Mixed Methods,NA,5,
14,R_2rDbqNnByTEM3pH,Methods,Quantitative,NA,5,
20,R_2aM2dTWmInyaTnE,Methods,Quantitative,NA,5,
23,R_2VaRq5PbXhScxGp,Methods,Mixed Methods,NA,5,
25,R_3R1pDNGfJNwC5fl,Methods,Mixed Methods,NA,5,
29,R_2zD32klEYXmuGaw,Physical,Mixed Methods,NA,5,
31,R_2Wu0UAmsrkxj3nU,Nature/society,Mixed Methods,NA,5,
32,R_shaBb0wRKEJdBex,Human,Mixed Methods,I do not think I can do a good original research,5,Just sad
45,R_3EaKeUakcDXYUon,Human,Quantitative,NA,5,
47,R_1LecSobzy2IQZh7,Physical,Quantitative,NA,5,
50,R_1l4WM5gdcrI0efD,Methods,Quantitative,NA,5,
57,R_3G7GPEXtZFPEHKK,Physical,Mixed Methods,NA,5,
64,R_25AVy1GWOOCIpnH,Human,Quantitative,NA,5,
65,R_3j2HmAKzBB8fxU4,Methods,Mixed Methods,NA,5,
68,R_pLw2QBTZugAlhQd,Methods,Mixed Methods,NA,5,
73,R_3Mhx0nZGaCTzuBR,Physical,Mixed Methods,NA,5,
77,R_30qxYYrHpyitVRN,Methods,Quantitative,NA,5,
78,R_2YXiM1GokEmTgad,Methods,Mixed Methods,NA,5,
79,R_1OlQwzsksCPhfFK,Methods,Quantitative,NA,5,
81,R_ZlcSeNvB5mRWGGJ,Methods,Mixed Methods,didn't attempt in the past 2 years,5,
82,R_3rY6kwfxVvkjkQi,Methods,Mixed Methods,NA,5,
84,R_2rHICzIyu1pRFhk,Human,Mixed Methods,"in the end I was limited due to (financial and time) resources 
difficulty in reproduction with timely social research (conditions change) & with qualitative research",5,
85,R_12uqEHmk4rA3InB,Nature/society,Mixed Methods,N/A,5,
92,R_1hSDRBTL6L3sgdM,Physical,Quantitative,The applicability is based on the skill and material that I have.,5,???
101,R_12JWLXvtUuGpYyo,Methods,Mixed Methods,NA,5,
8,R_WkbjkBHgQBHjN17,Physical,Mixed Methods,One instance is that I tried to reproduce a data set that would show a specific erosional process based on higher resolution datasets.,3,"Tough one, Discuss"
15,R_3LdVAlBeil1pPkJ,Physical,Mixed Methods,Understand better the local landscape dynamics in the intertropical mountains,3,???
19,R_3lXqZe3fUBXVpP8,Human,Qualitative,I have gone from  a one city based study to reproducing the research design over 6 cities in the global south in order to explore comparative urban research,3,
30,R_3JqhzhJtJOepNLz,Methods,Quantitative,"1. I had to apply an old method to a new study area. To ensure that all the steps and parameters are the same, I reproduced the results for the known study area before trying it on a new area.

2. We had developed a novel data on land cover, which appeared better than the ones already present in the literature. We had reservations about the quality of one of the existing datasets. To rigorously evaluate it under different settings, we reproduced the results using the pre-trained models published by the previous paper.",3,self-check also
43,R_3GiCVlcNYiS7jK0,Physical,Mixed Methods,"This may not fall into the pure idea of reproducibility, but when I find something in the field, I generally wonder if that is a local effect or if it can be spread more broadly. So I will sometimes rerun the experiment in an adjacent area (even just a few km away) to see if the effect is reproducible. If it is, then perhaps the effect is important and/or broadly applicable. If not, then maybe it is just a local effect or even a statistical anomaly.",3,
56,R_3Ecz7SpdhM7C3Ub,Nature/society,Mixed Methods,"Reproduction in different conditions and contexts helps to contrast and compare what works most of the time, some of the time, never. When a program such as our gender-sensitive, arts-aware Kool Routes to Schools works in very different schools, in different locations, during normal times, at home during the pandemic, and in public squares and quarantines eased, we could see what elements were important to reinforce. The Arts component became much more central to the program's resilience and to understanding and influencing participants' imaginaries regarding transportation and neighborhood life. In a sense we were ""reproducing"", with important adaptations, Safe Routes to School programs from the Global North (UK, US, Canada). We found very important modifications were central for them to work in the Global South (Chile).",3,
90,R_1IGkerQJY4XYlUV,Methods,Mixed Methods,We sometime want to apply technique or method in related dataset or in other country.,3,
3,R_1GHckm3kgFtJOF4,Physical,Quantitative,Testing data derived from different methods is an essential element in overall data quality estimation,2,"I would be curious to cross with this respondent's definition, which may give some light on self v. non-self check"
