"","ResponseId","Q3_recoded","Q4","Q6"
"1","R_2WCihkFWuowHEm7","Human","Quantitative","The ability to conduct the same research as under taken previously by other researchers in terms of data and methods"
"2","R_3oO61M3uMP3qoq3","Human","Qualitative","None. Because I do critical geopolitics."
"3","R_BL2ICAeiaNjoE8x","Human","Qualitative","others could conduct same or similar study"
"4","R_12mOYxj6HPAHIOU","Methods","Quantitative","That someone else can get the same results as you. Also, you didn’t p-hack."
"5","R_1M5tBfjZf0dk5zR","Human","Qualitative","That the findings of a study, and methods used to generate them, should be articulated such that any other researcher given the same data would arrive at the same conclusion or interpretation."
"6","R_uzeiI5JcyYPNb2N","Methods","Mixed Methods","For my computational work, I provide the code and explanation of the methods and data such that others could conduct the same sorts of experiments and analysis that I have. In my more qualitative work, I make clear the methodological principles followed (semi-structured interview, coding, etc.) such that while the work may not be 'reproducible' in the same way, one could conduct a similar study.

Honestly, beyond testing my own results for rigor and ensuring that others can understand (and if they want adapt/revisit) my own analysis, I do not worry about this."
"7","R_1i8mM0MdHcEegwF","Human","Mixed Methods","The use of Methods that allow other researchers (or the same researchers in different points in time) to administer the same tool, with comparable or equal samples, with the chance of comparing or complementing results"
"8","R_1GHckm3kgFtJOF4","Physical","Quantitative","Data/observations of some variable can be recovered repeatedly by different observers/methods"
"9","R_eXrHrNUR9PEdovD","Nature/society","Mixed Methods","My interpretation of reproducibility is that results are communicated in a transparent way to ensure the study can be replicated in the future."
"10","R_3L1gNAaOkMNp43x","Nature/society","Qualitative","That the research process could be carried out (near) identically by another research team, based on reproducible study design, methods, analysis, etc."
"11","R_10JeWlbhc0UXt1U","Methods","Quantitative","Methods and algorithms must be reproducible, i.e. lead to identical results"
"12","R_1qbbEWvLKLKk5cO","Methods","Mixed Methods","To be able to reproduce the results using the same method and techical steps"
"13","R_cvyXNRYOpcfkcWR","Nature/society","Qualitative",NA
"14","R_210dqZwp8BJROy6","Physical","Quantitative","Reproducibility refers to the ability of peers to replicate the results of a research study. The results should be reproducible within a small margin of error if a peer follows the same methods outlined by the authors of the original research."
"15","R_3m9aQmWwPcB0bqP","Human","Quantitative","Any findings I produce through my research should be replicable by other scholars"
"16","R_2EcnLo1yZr0j9og","Physical","Mixed Methods","A description of the scientific observations in order to enable the replication and progress of results attained by the study."
"17","R_dn9L8gDqkGb1qjn","Human","Mixed Methods","Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time"
"18","R_3Gr0AtGn2u1G402","Nature/society","Qualitative","Conduction get  research in a manner that allows a different team to produce similar results by  following the same method"
"19","R_2bTTqlXUMRaDvse","Human","Qualitative","Producing scholarship where the researcher(s) is fully transparent in and open to providing their methodology, literature and theory, data collection procedures, survey questions or ethnographic process if applicable, data sources/archives/sampling procedures, ""collected"" data, modes of analysis, positionality, coding methods, conflicts of interest, ethical standards, etc.; such that another researcher might be able to arrive at similar conclusions."
"20","R_WkbjkBHgQBHjN17","Physical","Mixed Methods","Here is my personal definition of 'reproducibility': a method to evaluate study findings by repeating the experiment using the same parameters (potentially numerous times) and comparing the resulting data sets. Having dissimilar (nonreproduced) values may call the validity of the study’s methods into question, but it does not necessarily automatically invalidate the initial findings.
Reproducibility, in my opinion, seems to be a growing issue in certain quantitative studies, e.g. lab or survey work. 
My work is creating surficial geologic maps. In this context, the issue of reproducibility is unlikely to be realistically address due to some qualitative methods. The product is a representation of sedimentological and lithological interpretations which based on numerous observations which are combined with past knowledge to create interpretations. The scale, effort, and opportunistic nature (e.g. seeing a newly dug construction site) of data collection does not allow for the work to be easily reproduced. Areas are rarely re-mapped at the same scale. Some areas are not remapped in the same century. In other words, once created these maps are authoritative for generations. Which is not necessarily a good thing. 
"
"21","R_1j7i2WEIfV0Q6pC","Human","Qualitative","In short, the idea of reproducibility implies that, regardless of the researcher, when research is conducted using the same data, methods, and ideas/research questions, subsequent researchers will arrive at the same results.
As a geographer who largely employs qualitative methods, this notion reflects the grotesque extent to which qualitative researchers are expected to scientize (mimic the scientific vernacular, questions, and processes) in their work in order to acquire funding.
Working abroad with populations who do not share the same native language, where there are certainly different views and practices concerning gender, race/ethnicity, education, class, and varying stereotypes of who researchers are, what and why they're researching a particular topic, etc., this kind of notion of ""reproducibility"" is really a ridiculous idea that only the most quantitatively stuck (and socially stunted) human geographers would say is possible. It is not the same thing for physical geographers as it is for human geographers, in the same way that notions of what is generalizable do not align neatly and can even conflict."
"22","R_2WOMddXLQYsDaPg","Human","Qualitative","Can results be reproduced?  As a qualitative methodologist, it is not as important as to others."
"23","R_3O7gkK5FNc96GvU","Nature/society","Qualitative","A reasonable researcher, with reasonable training in geographic methods, could follow similar steps as those outlined in the methods, accessing similar data sources, and subsequently arrive at similar findings and conclusions."
"24","R_21aEAxcph9i1K0K","Physical","Mixed Methods","That other people can arrive at similar (if not identical) results if they apply the same assumptions, methods and techniques."
"25","R_2zpdv830UKWqaaA","Human","Quantitative","Making your code and data available and explaining how you got there so that someone could carry out your research."
"26","R_12zf6ZKsCoZUof4","Physical","Quantitative","Reproducibility is related to but is not the same as replication.  In a computational context, it means that someone else can reproduce the workflow of a given study by a sufficiently clear description of the method and the provision of code, data, etc.  This will also allow verification - that the software does what it is intended to do."
"27","R_urVNTNoFZjaoNHj","Human","Quantitative","That someone else can reproduce the results of a published study."
