,X,ResponseId,Q3_recoded,Q4,Q10,rp_intent,sb_rp_intent,pk_rp_intent,any_diff,no_agreement,consensus,notes,SB_notes,PK_notes,X1.0.verify,X1.1.verify.others.research,X1.2.verify.own.research,X2..open.science...transparency,X3..replication...comparison.of.research,X3.2.replicate.own.research,X4.interest..teach..learn,X4.1.reapply.in.own.research,X5.missing
1,28,R_0ICyV5xgAsZ2FYl,Physical,Mixed Methods,Regional scale climate is more or less should be reproducible when attempting paleoclimate reconstruction while minor variations can be seen if the resolution of the archive used in the study is higher than the regional based climate we are dealing with...,3,NA,1,1,1,3 to 1,replicating to verify,Unknown,???,NA,NA,NA,NA,1,,NA,NA,NA
17,3,R_1GHckm3kgFtJOF4,Physical,Quantitative,Testing data derived from different methods is an essential element in overall data quality estimation,3,1,2,1,1,,triangulating methods… reanalysis,Unclear if this is someone else's values or their own,"I would be curious to cross with this respondent's definition, which may give some light on self v. non-self check",NA,NA,NA,NA,1,,NA,NA,NA
24,75,R_1LLjsy2CMGvbAsk,Physical,Quantitative,Method development an important part of research project,4,NA,2,1,1,5,assuming too much that they're reproducing to improve their own research? Let's NA this one-- we are just making assumptions,NA,???,NA,NA,NA,NA,NA,,1,1,NA
26,40,R_1mkpHHDTPvOKbeU,Methods,Quantitative,To double check that the results were consistent,NA,2,1,1,1,5,not clear if it's their own outcome or someone else's,Unclear if this is someone else's values or their own,,1,NA,NA,NA,NA,,NA,NA,NA
46,76,R_2tEbX7iPgAmMKqp,Methods,Quantitative,to improve over the methods,5,NA,2,1,1,5,a reanalysis? I don't know,NA,,NA,NA,NA,NA,NA,,NA,NA,1
61,38,R_3EIg2GgnIxrHRwR,Other,Quantitative,data needs,5,NA,4,1,1,5,,Unknown,,NA,NA,NA,1,NA,,NA,NA,NA
72,21,R_3LhkVXgtdkK6IOR,Methods,Quantitative,Comparison,3,NA,1,1,1,5,"could use more words here, but I assume they're comparing similar studies?",Unknown,???,NA,NA,NA,NA,1,,NA,NA,NA
86,22,R_5d2qqOiCDldenrr,Human,Mixed Methods,Timeliness and suitability,5,NA,1,1,1,5,,Unknown,,NA,NA,NA,NA,NA,,NA,NA,1
87,99,R_6fgYRiNY653Zpkt,Physical,Mixed Methods,"I apply standard (reproduced by different colleagues) methods in my research, which I assume or understand is an objective way to answer a common scientific question, such as When did the Patagonian glaciers reach their glacial maximum? This research implies testing former conclusions by providing new data.


",3,3,2,1,1,3,switch to 3 for replicating,NA,,NA,NA,NA,NA,1,,NA,NA,NA
94,32,R_shaBb0wRKEJdBex,Human,Mixed Methods,I do not think I can do a good original research,4,2,5,1,1,5,,NA,Just sad,NA,NA,NA,NA,NA,,1,NA,NA
96,11,R_urVNTNoFZjaoNHj,Human,Quantitative,Check the sensitivity to different classifications,3,2,1,1,1,3,,Maybe code as replication.,could be of own work though. Cross with def.,NA,NA,NA,NA,1,?,NA,NA,NA
2,4,R_10JeWlbhc0UXt1U,Methods,Quantitative,"reproduction attempt based on scientific publications without code or data
implementation of published methods for my own research, no direct reproduction of the initial study",4,4,2,1,0,4,is learning methods to use in own research,NA,,NA,NA,NA,NA,NA,,1,1,NA
3,41,R_10MI2qrzqp9x8IA,Physical,Mixed Methods,Not sure whether measurement drift was occurring.,2,1,2,1,0,other(1) or self(2)?,seems to be their own?,Unclear if this is someone else's values or their own,,1,NA,1,NA,NA,,NA,NA,NA
6,93,R_116HHN36zSfxViV,Physical,Quantitative,Attempt to understand the phenomenon better,5,4,4,1,0,4,"don't know what to make of this one. Could be replication, could be interest/learning",NA,,NA,NA,NA,NA,NA,,NA,NA,1
13,86,R_1cZFDhmTymKxZWU,Human,Quantitative,the results were surprising and as a means of quality control before embarking on further study,1,2,2,1,0,other(1) or self(2)?,not sure if it's their own results or others',NA,could be verify,1,NA,NA,NA,NA,,NA,NA,NA
15,89,R_1flQYKFTsSIMnWO,Physical,Mixed Methods,"We had more data than before, and we wanted to repeat past studies to see results were also reliable.",3,3,2,1,0,3,may be replicating their own work,NA,replication?,NA,NA,NA,NA,1,?,NA,NA,NA
16,102,R_1Ft9Xi9lnM9FSy7,Methods,Quantitative,To test but also learn more deeply about the methods,1,4,4,1,0,4,I also agree with 4,NA,,1,1,NA,NA,NA,,1,NA,NA
20,80,R_1K9fFIyaTUEieIr,Methods,Quantitative,Obtained larger sample size and higher resolution data. More a case of producing more robust results while also confirming previous findings,3,3,2,1,0,3,may be replicating own or others' research,NA,,NA,NA,NA,NA,1,,NA,NA,NA
25,60,R_1mEtMwltGElYSPp,Physical,Quantitative,"This was largely in the context of ensuring quality within my own lab. I have students with less experience conducting different analyses. Reproducing the analysis myself or by someone else is a way to double-check the results.

It may be noteworthy that in these cases the source data is the same; only the analysis of the data is repeated. The re-collection of samples from the field would be too expensive. This context may be informative to my responses the question following this one.",2,1,2,1,0,2,,Maybe code as self-check,,1,NA,1,NA,NA,,NA,NA,NA
28,18,R_1PRX9hoSmJAowNa,Methods,Quantitative,The increase the credibility and applicability of our theories and models.,1,2,2,1,0,2,"is ""our"" the author(s) or the discipline? It could be either 1 or 2",NA,???,NA,NA,NA,1,NA,,NA,NA,NA
29,67,R_1QavRXigWy5kyuF,Physical,Quantitative,I had a study that I had walked away from and wanted to pick back up to publish.,2,2,4,1,0,2,,NA,,1,NA,1,NA,NA,,NA,NA,NA
31,35,R_232CtupawfIiXtq,Methods,Mixed Methods,Sharing knowledge should not be limited. Reproducibility would have a great impact on science improvements.,2,4,2,1,0,2,,NA,,NA,NA,NA,1,NA,,NA,NA,NA
32,71,R_24B4AGz95i9JwDW,Nature/society,Qualitative,"I attempted to use a well known mathematical formular to see if I can obtain a quantitative measure of a characteristic in my data, and observe the change of this characteristic. This has been done successfully in by other researchers in my field working in a different part of the world. However, there were several factors that were unique to my dataset, geographical location, which presented a challenge to do this.",4,3,4,1,0,4,"learning to apply the method, but not comparing results (i.e. not replication)",NA,,NA,NA,NA,NA,NA,,NA,1,NA
37,51,R_2CxC4ddbE0XnGCF,Physical,Quantitative,Wanted more detailed results than provided in manuscript I was reviewing,1,1,4,1,0,1,purpose was review,NA,,1,1,NA,NA,NA,,NA,NA,NA
38,72,R_2dhEGetlwXFYOTZ,Physical,Quantitative,The quality and originality of the study.,4,1,1,1,0,,doesn't say anything about questioning/reviewing/verifying: but does imply interest in learning due to quality & originality,Unclear.,,NA,NA,NA,NA,NA,,1,NA,NA
54,17,R_2ygekBbNQW7Ko6U,Physical,Mixed Methods,"I wanted to see if a statistical model I produced would produce similar outcomes with another researcher's data.  However, the data they published was a mess and not able to be analysed without significant work",3,3,1,1,0,3,reapplying methods to compare similar outcomes: replication,NA,re-analysis really,1,NA,1,NA,1,,NA,NA,NA
62,88,R_3emgvQrP9GpeXiu,Physical,Mixed Methods,"the type and quality of the results obtained, as they would generate important information for the study sites",5,2,2,1,0,other(1) or self(2)?,no idea,Unclear if this is someone else's values or their own,,NA,NA,NA,NA,NA,,NA,NA,1
64,62,R_3g6pPPDUIAGbpyO,Methods,Mixed Methods,Help other researchers test my proposed methods.,2,2,1,1,0,2,self-check / transparency motivation,NA,,NA,NA,NA,1,NA,,NA,NA,NA
66,43,R_3GiCVlcNYiS7jK0,Physical,Mixed Methods,"This may not fall into the pure idea of reproducibility, but when I find something in the field, I generally wonder if that is a local effect or if it can be spread more broadly. So I will sometimes rerun the experiment in an adjacent area (even just a few km away) to see if the effect is reproducible. If it is, then perhaps the effect is important and/or broadly applicable. If not, then maybe it is just a local effect or even a statistical anomaly.",1,3,3,1,0,3,"ok, it's replication of own work",NA,,1,NA,1,NA,1,1,NA,NA,NA
69,98,R_3KrmJgOtvVecPv3,Human,Mixed Methods,Updating my own research based on newly available datasets.,3,3,2,1,0,3,,NA,,NA,NA,NA,NA,1,1,NA,NA,NA
71,15,R_3LdVAlBeil1pPkJ,Physical,Mixed Methods,Understand better the local landscape dynamics in the intertropical mountains,4,4,3,1,0,4,"learning/interest is clearly a goal, but there is nothing to suggest this is through replication",NA,???,NA,NA,NA,NA,NA,,1,NA,NA
73,36,R_3LX7ytWfSIQqTFL,Physical,Mixed Methods,Investigate alternative data intepretation,1,2,2,1,0,other(1) or self(2)?,,Other,could be verify,NA,NA,NA,NA,1,,NA,NA,NA
76,54,R_3me5aCWhLQD0aKX,Methods,Quantitative,Verification of a new model on the same data involved reproduction of the original analysis.,3,1,1,1,0,1,,Unclear if this is someone else's values or their own; might also be replication,,NA,NA,NA,NA,1,,NA,NA,NA
80,24,R_3PRnEpYOyqf5TEY,Physical,Mixed Methods,"1. Interested in research methods;
2. Doubt about the results.",4,1,1,1,0,both (4) and (1),,Maybe teaching/learning,also learning,1,1,NA,NA,NA,,1,NA,NA
85,97,R_3sanAH0uhIkmQ8e,Methods,Mixed Methods,Test internationally approved methodologies in the context of my country,3,3,4,1,0,4,I can switch this to 4 because it doesn't imply comparison of results,NA,,NA,NA,NA,NA,1,,NA,NA,NA
88,55,R_7Osv8YXMNHxJFdL,Methods,Quantitative,"Wanting to understand re-use tools/code of others, not so much interest in the actual results applicable for a given geographical area/dataset ( as I am a methodologist)",4,1,4,1,0,4,,NA,,NA,NA,NA,NA,NA,,1,1,NA
97,49,R_VI8rGnm5bM7h2lX,Physical,Quantitative,Usually I have my students reproduce previous research (e.g. on a simpler configuration) to validate their experimental technique/methods/analysis,4,4,2,1,0,4,they're learning from others; not reproducing their own work to verify it,NA,,NA,NA,NA,NA,NA,,1,NA,NA
