,...1.x,ResponseId,Q3_recoded.x,Q4.x,Q6.x,data_same.x,data_similar.x,data,procedure_same.x,procedure_similar.x,procedure,results_same.x,results_similar.x,results,context_same.x,context_similar.x,context,rp_rejection.x,Missing.x,Notes.x,...1.y,Q3_recoded.y,Q4.y,Q6.y,data_same.y,data_similar.y,data,procedure_same.y,procedure_similar.y,procedure,results_same.y,results_similar.y,results,context_same.y,context_similar.y,context,rp_rejection.y,Missing.y,Notes.y,diff_data_same,diff_data_sim,diff_pro_same,diff_pro_sim,diff_res_same,diff_res_sim,diff_con_same,diff_con_sim,diff_rp_rej,diff_miss,diff_any,count_diff,diff_data_agg,diff_pro_agg,diff_res_agg,diff_con_agg,diff_tot_agg,dat_rec,pro_rec,res_rec,con_rec,Rejection,label
5,201,R_Pwa2G1cjqoIiWqt,Physical,Quantitative,"If someone were to travel to my study sites, employ a similar sampling strategy and invest a comparable effort in the lab I believe they would come to the same results and conclusions that my colleagues and I did.",0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,201,Physical,Quantitative,"If someone were to travel to my study sites, employ a similar sampling strategy and invest a comparable effort in the lab I believe they would come to the same results and conclusions that my colleagues and I did.",0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,1,1,1,3,0,1,1,1,0,Data Collection
8,120,R_3Ecz7SpdhM7C3Ub,Nature/society,Mixed Methods,"Based on principles developed by Argyris and Schon and more recently and fully within different branches of Action Research, our research blends both traditional surveys, reflective workshops and other participatory methods, with the development of programs, such as ""Kool Routes to School"", which we then test and co-create with partners in schools, neighbourhoods, cities and regions. By reproducibility we do not claim universality, that is, that repeating the same experiment will produce the same results everywhere, but rather that some methods and /or results can be of interest to and useful for researchers and practitioners exploring similar issues in similar or even very different contexts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclear how to code,120,Nature/society,Mixed Methods,"Based on principles developed by Argyris and Schon and more recently and fully within different branches of Action Research, our research blends both traditional surveys, reflective workshops and other participatory methods, with the development of programs, such as ""Kool Routes to School"", which we then test and co-create with partners in schools, neighbourhoods, cities and regions. By reproducibility we do not claim universality, that is, that repeating the same experiment will produce the same results everywhere, but rather that some methods and /or results can be of interest to and useful for researchers and practitioners exploring similar issues in similar or even very different contexts.",0,0,0,0,1,1,0,1,1,0,1,1,0,0,Focus on value of the results not a comparison with past results,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0,1,1,1,3,0,0,0,0,0,Transparency/Extension
6,78,R_PtENk3TcALFtavf,Human,Qualitative,transparancy about connectio between data. methods and results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not sure how to code,78,Human,Qualitative,transparancy about connectio between data. methods and results,0,1,1,0,1,1,0,1,1,0,0,0,0,0,???,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,1,1,0,3,0,0,0,0,0,Transparency/Extension
7,111,R_T136R4u4f2HARLX,Methods,Quantitative,"To publish data and software which led to the research results related to a published study/article. If the results are also data (GIS models/maps, simulation/modelling results) they should also be published",0,0,0,0,0,0,0,0,0,0,0,0,0,0,come back to,111,Methods,Quantitative,"To publish data and software which led to the research results related to a published study/article. If the results are also data (GIS models/maps, simulation/modelling results) they should also be published",0,1,1,0,1,1,0,1,1,0,0,0,0,0,Focused on sharing not comparison,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,1,1,0,3,0,0,0,0,0,Transparency/Extension
24,132,R_pFdMlFXTZMAGRNv,Methods,Quantitative,Possibility to recreate the analysis using original data,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,132,Methods,Quantitative,Possibility to recreate the analysis using original data,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,1,1,0,1,0,
39,209,R_3KrmJgOtvVecPv3,Human,Mixed Methods,"Creating/using research methods that are transferrable to other contexts, as well as sharing data/code from my own research that allows others to repeat or extend that work.",1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,209,Human,Mixed Methods,"Creating/using research methods that are transferrable to other contexts, as well as sharing data/code from my own research that allows others to repeat or extend that work.",0,0,0,1,1,2,0,0,0,0,1,1,0,0,Transfer again,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,0,0,2,1,1,0,1,0,Transparency/Extension
3,188,R_1IGkerQJY4XYlUV,Methods,Mixed Methods,the research should be able to replicate to other area/case with similar concept or same method.,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,188,Methods,Mixed Methods,the research should be able to replicate to other area/case with similar concept or same method.,0,0,0,0,1,1,0,1,1,0,0,0,0,0,Reading research as result.,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0,0,1,1,2,0,1,0,1,0,
53,112,R_qInL61MWeeieD61,Physical,Mixed Methods,"My understanding is that the quantitative data my colleagues and I collect will be identical, or nearly so, to the data collected from the same site or similar sites by other researchers. Of course, the interpretation of those data will be subject to biases inherently present in each researcher.",0,0,0,1,0,1,1,1,2,1,1,2,0,0,0,112,Physical,Mixed Methods,"My understanding is that the quantitative data my colleagues and I collect will be identical, or nearly so, to the data collected from the same site or similar sites by other researchers. Of course, the interpretation of those data will be subject to biases inherently present in each researcher.",1,0,1,1,0,1,1,1,2,1,1,2,0,0,See data as the result. Focused on process not outcomes.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,1,2,0,1,0,1,0,Data Collection
4,200,R_2BaNI5ghpBAK0h8,Methods,Quantitative,"Reproducible research usually publishes the data used to justify research claims. If the data cannot be published (as in my case), the description of the methods should allow researchers to replicate the results if they had the same data. These are the practical dimensions of reproducibility. Conceptually, reproducibility is about minimizing or eliminating the bias of subjective decisions, or contextualizing your findings with respect to the methodological choices you make as a researcher.",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,200,Methods,Quantitative,"Reproducible research usually publishes the data used to justify research claims. If the data cannot be published (as in my case), the description of the methods should allow researchers to replicate the results if they had the same data. These are the practical dimensions of reproducibility. Conceptually, reproducibility is about minimizing or eliminating the bias of subjective decisions, or contextualizing your findings with respect to the methodological choices you make as a researcher.",1,1,2,0,1,1,1,1,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,0,1,0,2,1,1,1,0,0,
29,160,R_2YXiM1GokEmTgad,Methods,Mixed Methods,The experiments will be repeated successfully.,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,160,Methods,Mixed Methods,The experiments will be repeated successfully.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,???,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,0,1,1,0,0,Experiment
