Raw description,Frequency,Percentage,Replication_flag,Same_data,Same_procedure,Same_result,Other
,22,10.28037383,,,,,
A description of the scientific observations in order to enable the replication and progress of results attained by the study. ,1,0.46728972,1,,,,1
"A reasonable researcher, with reasonable training in geographic methods, could follow similar steps as those outlined in the methods, accessing similar data sources, and subsequently arrive at similar findings and conclusions. ",1,0.46728972,,1,1,1,
"A reproducible analysis is one where a researcher from outside the research group that performed the analysis can collect the same data and follow the same methods and get the same (or at least not significantly different) results. Basically, ""can I read a journal article and get the same results as the authors without a whole lot of additional investigation?""",1,0.46728972,,1,1,1,
a scientific ideal from applied sciences that under experimental conditions a test of a given hypothesis should be reproduciable ,1,0.46728972,,,,,1
ability to reproduce the results/findings of a project,1,0.46728972,,,,1,1
"All methods (including data collection, analysis and visualization) must be detailed so that a reader would be able to reproduce the same results by following the methods on the same dataset.",1,0.46728972,,1,1,1,
Allowing others to conduct the same study to duplicate to repudiate the results,1,0.46728972,,1,1,1,
"Allowing peers to fully comprehend and reproduce your study/research by providing maximum (ethically possible) transparency on data sources, methods and analytical steps. ",1,0.46728972,,1,1,1,
An ability to produce consistent results when an experiment is repeated!,1,0.46728972,,,1,1,
"Another researcher could take my data, use my analytical approach and produce the same result.",1,0.46728972,,1,1,1,
"Another researcher, with the same data and methods, should get the same results.",1,0.46728972,,1,1,1,
Another scholar with access to the same data would produce results that are not different from mine in a statistically significant way.,1,0.46728972,,1,,1,
Any findings I produce through my research should be replicable by other scholars,1,0.46728972,1,,,1,
Any research or study published publicly should provide enough information so that other experts in the field can reproduce the reported results or perform the proposed study for their area of interest.,1,0.46728972,,,1,1,
Apply and evaluate existing research concepts and workflows to other test sites,1,0.46728972,,,,,1
Applying measurement techniques which can guarantee that temperature or displacements are measured with a high degree of reliability over a long period of time in a challenging environment.,1,0.46728972,,,,,1
Applying the same methodology in different case studies,1,0.46728972,,,1,,1
"As a field scientist it is often not possible to reproduce our research entirely, but the methods and models and statistics employed should theoretically be understandable and reproducible in a similar context by other researchers with nearly the same results. ",1,0.46728972,,,1,1,
"As a historical geographer, working with qualitative research methods, I understand reproducibility more in terms of sources than of methods. I see reproducible research as being that which makes clear the origin and location of its data.",1,0.46728972,,1,,,1
"As a qualitative researcher doing in-depth case study research, my studies can not be perfectly reproduced. But reproducibility sits in the openness about methods and data collection practices, as well as critical reflection about strengths and weaknesses of my research. When we write about those things in the methods section in our papers and theses, their reproducibility is increased. ",1,0.46728972,,1,1,,1
"Based on principles developed by Argyris and Schon and more recently and fully within different branches of Action Research, our research blends both traditional surveys, reflective workshops and other participatory methods, with the development of programs, such as ""Kool Routes to School"", which we then test and co-create with partners in schools, neighbourhoods, cities and regions. By reproducibility we do not claim universality, that is, that repeating the same experiment will produce the same results everywhere, but rather that some methods and /or results can be of interest to and useful for researchers and practitioners exploring similar issues in similar or even very different contexts. ",1,0.46728972,,,,,1
Be replicated by other researchers,1,0.46728972,1,,,,
"Being able to read and interpret the methods outlines in my research and produce the same results.  If the methods aren't clearly explained in a way that a working scientist can't reexamine them, I would say that work has a reproductibility problem",1,0.46728972,,,1,1,
"Being able to reproduce a piece of previous research and obtain the same results by using the same methodology, data and materials. ",1,0.46728972,,1,1,1,
"Being able to reproduce the research in different sectors, geographic units...",1,0.46728972,,,,,1
"Being clear on the data used, the variables constructed, and the techniques used so that someone can use the same dataset or use the same technique. ",1,0.46728972,,1,1,,
"Both the methodological framework and specific algorithm used can be implemented by using existing tools or code, and can be re-run with the expeimental dataset to reach (almost) same results.",1,0.46728972,,1,1,1,
can others get the same result we did,1,0.46728972,,,,1,
Can others use methods we have used and replicate our results,1,0.46728972,,,1,1,
"Can results be reproduced?  As a qualitative methodologist, it is not as important as to others.",1,0.46728972,,,,1,
"Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time",1,0.46728972,,,1,1,
Conduction get  research in a manner that allows a different team to produce similar results by  following the same method,1,0.46728972,,,1,1,
Could similar authors using similar methods come to the same conclusion?,1,0.46728972,,,1,1,
Creating datasets and describing methodologies that can be reused by others.,1,0.46728972,,1,1,,
"Creating/using research methods that are transferrable to other contexts, as well as sharing data/code from my own research that allows others to repeat or extend that work.",1,0.46728972,,1,1,,
Data that can be obtained again and it produces the same results.,1,0.46728972,,1,,1,
"Data that other researchers could collect, or an interpretation of a data set that other researchers may also find.",1,0.46728972,,,,,1
Data/observations of some variable can be recovered repeatedly by different observers/methods,1,0.46728972,, , , ,1
