,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q7a,Q7a_1,Q7a_2,Q7a_3,Q7b,Q7b_1,Q7c,Q7c_1,Q7c_2,Q7c_3,Q7d,Q7d_1,Q7d_2,Q7e,Q7e_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12a,Q13_1_1,Q13_2_1,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15,Q16,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17a,Q18,Q19,Q19_9_TEXT,Q20,Q20_5_TEXT,Q21,Q21_7_TEXT,Q22,Q23
3,5/17/2022 13:38,5/17/2022 13:44,IP Address,100,327,TRUE,5/17/2022 13:44,R_2WCihkFWuowHEm7,,51.4217,-2.7527,email,EN,35-54 years old,Yes,Human geography,,Quantitative,To a great extent,The ability to conduct the same research as under taken previously by other researchers in terms of data and methods ,To a great extent,Some of the time,"Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Always,To a great extent,Most of the time,To a great extent,Some of the time,Some of the time,Some of the time,To a great extent,Most of the time,Some of the time,Somewhat,Some of the time,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Interest,Some,Some,Some,"Yes, some","Yes, some","Yes, some",Did not attempt,,50,60,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Data privacy ,"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,6 - 10 people,Laboratory director/head,,Male,,White,,United Kingdom of Great Britain and Northern Ireland,I would like to be entered into the prize draw
4,5/17/2022 13:39,5/17/2022 13:45,IP Address,100,360,TRUE,5/17/2022 13:45,R_3oO61M3uMP3qoq3,,41.0218,28.9669,email,EN,35-54 years old,Yes,Human geography,,Qualitative,To a great extent,None. Because I do critical geopolitics.,Not at all,,,,Somewhat,Never,Somewhat,Never,,Never,Very little,Never,,Not at all,,Disagree,,Disagree,Agree,Disagree,Strongly agree,Yes,No,,No,No,No,No,,,,,,,,,,50,10,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,,"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",,Not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,,1 person,Full professor/lecturer,,Prefer not to say,,White,,Turkey,I would like to be entered into the prize draw
5,5/17/2022 13:41,5/17/2022 13:46,IP Address,100,278,TRUE,5/17/2022 13:46,R_BL2ICAeiaNjoE8x,,51.5834,-0.0755,email,EN,35-54 years old,Yes,Human geography,,Qualitative,Somewhat,others could conduct same or similar study,Somewhat,Rarely,Obtaining or collecting data,Never,Not at all,,Very little,Rarely,Never,Never,Not at all,,,Not at all,,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,No,No,No,Yes,No,No,No,,,,,,,,,,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Occasionally,,Principal investigator of the study,,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat important,,6 - 10 people,Associate professor/lecturer,,Male,,White,,United Kingdom of Great Britain and Northern Ireland,I would like to be entered into the prize draw
6,5/17/2022 13:42,5/17/2022 13:48,IP Address,100,330,TRUE,5/17/2022 13:48,R_12mOYxj6HPAHIOU,,52.2433,21.0297,email,EN,35-54 years old,Yes,"Geographic methods, GIS, spatial statistics",,Quantitative,Somewhat,"That someone else can get the same results as you. Also, you didn’t p-hack. ",To a great extent,Always,"Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Some of the time,Not at all,,Somewhat,Some of the time,Most of the time,Rarely,Somewhat,Some of the time,Some of the time,Very little,Never,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Yes,Yes,Yes,No,No,Yes,Yes,To see if what they did made sense. ,Some,Some,Some,No,No,"Yes, some",Did not attempt,,15,25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,,Principal investigator of the study,,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,,1 person,Associate professor/lecturer,,Male,,White,,United States of America,I would like to be entered into the prize draw
7,5/17/2022 13:41,5/17/2022 13:50,IP Address,100,513,TRUE,5/17/2022 13:50,R_1M5tBfjZf0dk5zR,,33.9461,-83.418,email,EN,18-34 years old,Yes,Human geography,,Qualitative,To a great extent,"That the findings of a study, and methods used to generate them, should be articulated such that any other researcher given the same data would arrive at the same conclusion or interpretation.",Very little,Never,,,Somewhat,Some of the time,To a great extent,Never,,Never,Not at all,,,Not at all,,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,No,No,No,No,No,No,No,,,,,,,,,,40,20,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,"Speaking only for myself, the major factor in a lack of reproducibility is not giving a single iota of thought as to whether my work is reproducible, as I don't value reproducibility as an inherent marker of good research.",Other (specify),Nobody?,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat not important,Not important,Somewhat important,,1 person,"Graduate student (PhD, masters)",,Male,,White,,United States of America,
8,5/17/2022 13:39,5/17/2022 13:52,IP Address,100,767,TRUE,5/17/2022 13:52,R_uzeiI5JcyYPNb2N,,47.5364,-122.278,email,EN,35-54 years old,Yes,"Geographic methods, GIS, spatial statistics",,Mixed Methods,To a great extent,"For my computational work, I provide the code and explanation of the methods and data such that others could conduct the same sorts of experiments and analysis that I have. In my more qualitative work, I make clear the methodological principles followed (semi-structured interview, coding, etc.) such that while the work may not be 'reproducible' in the same way, one could conduct a similar study.

Honestly, beyond testing my own results for rigor and ensuring that others can understand (and if they want adapt/revisit) my own analysis, I do not worry about this.",To a great extent,Most of the time,"Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Most of the time,To a great extent,Most of the time,To a great extent,Some of the time,Rarely,Most of the time,To a great extent,Most of the time,Always,Not at all,,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,20,60,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Frequently,Occasionally,,Other (specify),"Whoever wants to test a given case. Reproducibility is the definitive testament of knowledge production, so aligning it as a condition of publication/funding is absurd and requires a specific epistemological orientation that delimits Geography as a discipline. Let's not refight the quantitative revolution, eh?",Somewhat important,Somewhat important,Somewhat important,Very important,Not important,Not important,Not important,Not important,Very important,Somewhat important,,11 - 15 people,Associate professor/lecturer,,Male,,White,,United States of America,I would like to be entered into the prize draw
9,5/17/2022 13:43,5/17/2022 13:53,IP Address,100,566,TRUE,5/17/2022 13:53,R_1i8mM0MdHcEegwF,,43.1479,12.1097,email,EN,35-54 years old,No,Other (specify),Sociology ,Mixed Methods,To a great extent,"The use of Methods that allow other researchers (or the same researchers in different points in time) to administer the same tool, with comparable or equal samples, with the chance of comparing or complementing results ",To a great extent,Most of the time,Obtaining or collecting data,Rarely,To a great extent,Rarely,To a great extent,Never,,Never,Very little,Never,,Not at all,,Disagree,Agree,Agree,,Disagree,Disagree,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,Occasionally,Frequently,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,,"Principal investigator of the study,Funding agency",,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Somewhat important,,2 - 5 people,Associate professor/lecturer,,Male,,White,,Italy,
10,5/17/2022 13:41,5/17/2022 13:54,IP Address,100,761,TRUE,5/17/2022 13:54,R_1GHckm3kgFtJOF4,,34.0322,-118.2836,email,EN,55+ years old,Yes,"Physical geography, earth and environmental sciences",,Quantitative,To a great extent,Data/observations of some variable can be recovered repeatedly by different observers/methods,Very little,Some of the time,Obtaining or collecting data,Most of the time,Somewhat,Most of the time,To a great extent,Most of the time,Never,Rarely,Somewhat,Rarely,Never,Not at all,,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Testing data derived from different methods is an essential element in overall data quality estimation,Some,All,Some,"Yes, all","Yes, all","Yes, some","Yes, some",lack of time or importance,,5%,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,,"Principal investigator of the study,Peer-reviewer(s)",,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,2 - 5 people,Full professor/lecturer,,Male,,White,,United States of America,
11,5/17/2022 13:46,5/17/2022 13:57,IP Address,100,676,TRUE,5/17/2022 13:57,R_eXrHrNUR9PEdovD,,40.1016,-88.2822,email,EN,35-54 years old,Yes,Nature and society,,Mixed Methods,To a great extent,My interpretation of reproducibility is that results are communicated in a transparent way to ensure the study can be replicated in the future.  ,To a great extent,Most of the time,"Data cleaning or pre-processing,Data analysis",Always,Somewhat,Most of the time,To a great extent,Always,Always,Rarely,Somewhat,Some of the time,Never,To a great extent,Some of the time,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,70,Rarely,Occasionally,Frequently,Occasionally,Rarely,Frequently,Rarely,Never,Frequently,Occasionally,Occasionally,Never,,"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",Students and first authors,Very important,Very important,Somewhat not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Not important,Very important,Very important,,11 - 15 people,Associate professor/lecturer,,Female,,White,,United States of America,
12,5/17/2022 13:49,5/17/2022 14:00,IP Address,100,680,TRUE,5/17/2022 14:00,R_3L1gNAaOkMNp43x,,31.308,-89.3064,email,EN,35-54 years old,Yes,Nature and society,,Qualitative,Somewhat,"That the research process could be carried out (near) identically by another research team, based on reproducible study design, methods, analysis, etc.",Somewhat,Rarely,Data analysis,Rarely,To a great extent,Always,To a great extent,Rarely,Rarely,,Very little,,,Very little,Never,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Yes,Yes,,Yes,No,No,No,,,,,,,,,,20,5,Rarely,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Rarely,Rarely,Frequently,Occasionally,Rarely,Occasionally,"Nature of long-term qualitative data collection, which includes establishing relationships, rapport, and familiarity with study sites, communities, and people. Even gaining access to informants and communities can be difficult, and also context-dependent. By its very nature doing the same work -- even with the same research protocol in the same place -- could provide different data; although major conclusions may be reproducible.",Principal investigator of the study,,Somewhat not important,Somewhat not important,Somewhat not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,,2 - 5 people,Assistant professor/lecturer,,Male,,White,,United States of America,I would like to be entered into the prize draw
