StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q7a,Q7a_1,Q7a_2_1,Q7a_2_2,Q7a_2_3,Q7a_2_4,Q7a_3,Q7b,Q7b_1,Q7c,Q7c_1,Q7c_2,Q7c_3,Q7d,Q7d_1,Q7d_2,Q7e,Q7e_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12a,Q13_1_1,Q13_2_1,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17a,Q18,Q19,Q19_9_TEXT,Q20,Q20_5_TEXT,Q21_1,Q21_2,Q21_3,Q21_6,Q21_4,Q21_5,Q21_7,Q21_8,Q21_7_TEXT,Q22,Q23,Q3_recoded,Q19_recoded,Q16_6,Q16_7,Q13_1,Q13_2,consensus,X.1,X,X1.0.verify,X1.1.verify.others.research,X1.2.verify.own.research,X2..open.science...transparency,X3..replication...comparison.of.research,X3.2.replicate.own.research,X4.interest..teach..learn,X4.1.reapply.in.own.research,X5.missing,dat_rec,pro_rec,res_rec,con_rec,Rejection,label,rp_conservative,rp_liberal,access_some_data,access_some_code,access_some_data_code,access_all_data_code,Q10_recoded,definition_sum,definition_label
2022-05-17T19:38:47Z,2022-05-17T19:44:15Z,100,327,TRUE,2022-05-17T19:44:15Z,R_2WCihkFWuowHEm7,35-54 years old,Yes,Human geography,NA,Quantitative,To a great extent,The ability to conduct the same research as under taken previously by other researchers in terms of data and methods,To a great extent,Some of the time,0,Data cleaning or pre-processing,Data analysis,Data visualization or mapping,Always,To a great extent,Most of the time,To a great extent,Some of the time,Some of the time,Some of the time,To a great extent,Most of the time,Some of the time,Somewhat,Some of the time,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Interest,Some,Some,Some,"Yes, some","Yes, some","Yes, some",Did not attempt,NA,50,60,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Data privacy,1,1,1,1,0,NA,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,NA,6 - 10 people,Laboratory director/head,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,I would like to be entered into the prize draw,Human,Laboratory director/head,0,0,50,60,4,52,1,NA,NA,NA,NA,NA,,1,NA,NA,1,1,1,0,0,Standard,0,1,1,1,1,0,Teaching/Learning,3,Standard
2022-05-17T19:39:56Z,2022-05-17T19:45:56Z,100,360,TRUE,2022-05-17T19:45:56Z,R_3oO61M3uMP3qoq3,35-54 years old,Yes,Human geography,NA,Qualitative,To a great extent,None. Because I do critical geopolitics.,Not at all,Never,0,0,0,0,Never,Somewhat,Never,Somewhat,Never,Never,Never,Very little,Never,Never,Not at all,Never,Disagree,NA,Disagree,Agree,Disagree,Strongly agree,Yes,No,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,10,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,NA,1,1,1,0,0,NA,Not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,NA,1 person,Full professor/lecturer,NA,Prefer not to say,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,Turkey,I would like to be entered into the prize draw,Human,Full professor/lecturer,0,0,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Omit,NA,NA,0,0,0,NA,NA,0,Omit
2022-05-17T19:41:25Z,2022-05-17T19:46:03Z,100,278,TRUE,2022-05-17T19:46:03Z,R_BL2ICAeiaNjoE8x,35-54 years old,Yes,Human geography,NA,Qualitative,Somewhat,others could conduct same or similar study,Somewhat,Rarely,Obtaining or collecting data,0,0,0,Never,Not at all,Never,Very little,Rarely,Never,Never,Not at all,Never,Never,Not at all,Never,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Occasionally,NA,1,0,0,0,0,NA,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat important,NA,6 - 10 people,Associate professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,I would like to be entered into the prize draw,Human,Associate professor/lecturer,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,Standard,NA,NA,0,0,0,NA,NA,4,Standard
2022-05-17T19:42:37Z,2022-05-17T19:48:08Z,100,330,TRUE,2022-05-17T19:48:08Z,R_12mOYxj6HPAHIOU,35-54 years old,Yes,"Geographic methods, GIS, spatial statistics",NA,Quantitative,Somewhat,"That someone else can get the same results as you. Also, you didn’t p-hack.",To a great extent,Always,Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping,Some of the time,Not at all,Never,Somewhat,Some of the time,Most of the time,Rarely,Somewhat,Some of the time,Some of the time,Very little,Never,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Yes,Yes,Yes,No,No,Yes,Yes,To see if what they did made sense.,Some,Some,Some,No,No,"Yes, some",Did not attempt,NA,15,25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,NA,1,0,0,0,0,NA,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,NA,1 person,Associate professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,I would like to be entered into the prize draw,Methods,Associate professor/lecturer,0,0,15,25,1,8,2,1,1,NA,NA,NA,,NA,NA,NA,0,0,0,0,0,Standard,0,1,0,0,0,0,Verification/Peer-Review,0,Standard
2022-05-17T19:41:30Z,2022-05-17T19:50:04Z,100,513,TRUE,2022-05-17T19:50:04Z,R_1M5tBfjZf0dk5zR,18-34 years old,Yes,Human geography,NA,Qualitative,To a great extent,"That the findings of a study, and methods used to generate them, should be articulated such that any other researcher given the same data would arrive at the same conclusion or interpretation.",Very little,Never,0,0,0,0,Never,Somewhat,Some of the time,To a great extent,Never,Never,Never,Not at all,Never,Never,Not at all,Never,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,"Speaking only for myself, the major factor in a lack of reproducibility is not giving a single iota of thought as to whether my work is reproducible, as I don't value reproducibility as an inherent marker of good research.",0,0,0,0,0,Nobody?,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat not important,Not important,Somewhat important,NA,1 person,"Graduate student (PhD, masters)",NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,NA,Human,"Graduate student (PhD, masters)",0,1,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Transparency/Extension,NA,NA,0,0,0,NA,NA,1,Transparency/Extension
2022-05-17T19:39:42Z,2022-05-17T19:52:29Z,100,767,TRUE,2022-05-17T19:52:30Z,R_uzeiI5JcyYPNb2N,35-54 years old,Yes,"Geographic methods, GIS, spatial statistics",NA,Mixed Methods,To a great extent,"For my computational work, I provide the code and explanation of the methods and data such that others could conduct the same sorts of experiments and analysis that I have. In my more qualitative work, I make clear the methodological principles followed (semi-structured interview, coding, etc.) such that while the work may not be 'reproducible' in the same way, one could conduct a similar study.

Honestly, beyond testing my own results for rigor and ensuring that others can understand (and if they want adapt/revisit) my own analysis, I do not worry about this.",To a great extent,Most of the time,Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping,Most of the time,To a great extent,Most of the time,To a great extent,Some of the time,Rarely,Most of the time,To a great extent,Most of the time,Always,Not at all,Never,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,60,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Frequently,Occasionally,NA,0,0,0,0,1,"Whoever wants to test a given case. Reproducibility is the definitive testament of knowledge production, so aligning it as a condition of publication/funding is absurd and requires a specific epistemological orientation that delimits Geography as a discipline. Let's not refight the quantitative revolution, eh?",Somewhat important,Somewhat important,Somewhat important,Very important,Not important,Not important,Not important,Not important,Very important,Somewhat important,NA,11 - 15 people,Associate professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,I would like to be entered into the prize draw,Methods,Associate professor/lecturer,0,0,20,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,Transparency/Extension,NA,NA,0,0,0,NA,NA,2,Transparency/Extension
2022-05-17T19:43:56Z,2022-05-17T19:53:22Z,100,566,TRUE,2022-05-17T19:53:23Z,R_1i8mM0MdHcEegwF,35-54 years old,No,Other (specify),Sociology,Mixed Methods,To a great extent,"The use of Methods that allow other researchers (or the same researchers in different points in time) to administer the same tool, with comparable or equal samples, with the chance of comparing or complementing results",To a great extent,Most of the time,Obtaining or collecting data,0,0,0,Rarely,To a great extent,Rarely,To a great extent,Never,Never,Never,Very little,Never,Never,Not at all,Never,Disagree,Agree,Agree,NA,Disagree,Disagree,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Occasionally,Frequently,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,NA,1,0,0,1,0,NA,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Somewhat important,NA,2 - 5 people,Associate professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,Italy,NA,Human,Associate professor/lecturer,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,Data Collection,NA,NA,0,0,0,NA,NA,2,Data Collection
2022-05-17T19:41:49Z,2022-05-17T19:54:30Z,100,761,TRUE,2022-05-17T19:54:31Z,R_1GHckm3kgFtJOF4,55+ years old,Yes,"Physical geography, earth and environmental sciences",NA,Quantitative,To a great extent,Data/observations of some variable can be recovered repeatedly by different observers/methods,Very little,Some of the time,Obtaining or collecting data,0,0,0,Most of the time,Somewhat,Most of the time,To a great extent,Most of the time,Never,Rarely,Somewhat,Rarely,Never,Not at all,Never,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Testing data derived from different methods is an essential element in overall data quality estimation,Some,All,Some,"Yes, all","Yes, all","Yes, some","Yes, some",lack of time or importance,NA,5%,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,NA,1,1,0,0,0,NA,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,NA,NA,2 - 5 people,Full professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,NA,Physical,Full professor/lecturer,0,0,NA,5,5,17,3,NA,NA,NA,NA,1,,NA,NA,NA,1,0,0,0,0,Data Collection,1,1,1,1,1,1,Missing,1,Data Collection
2022-05-17T19:46:36Z,2022-05-17T19:57:53Z,100,676,TRUE,2022-05-17T19:57:54Z,R_eXrHrNUR9PEdovD,35-54 years old,Yes,Nature and society,NA,Mixed Methods,To a great extent,My interpretation of reproducibility is that results are communicated in a transparent way to ensure the study can be replicated in the future.,To a great extent,Most of the time,0,Data cleaning or pre-processing,Data analysis,0,Always,Somewhat,Most of the time,To a great extent,Always,Always,Rarely,Somewhat,Some of the time,Never,To a great extent,Some of the time,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,Rarely,Occasionally,Frequently,Occasionally,Rarely,Frequently,Rarely,Never,Frequently,Occasionally,Occasionally,Never,NA,1,0,1,1,0,Students and first authors,Very important,Very important,Somewhat not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Not important,Very important,Very important,NA,11 - 15 people,Associate professor/lecturer,NA,Female,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,NA,Nature/society,Associate professor/lecturer,1,0,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,Transparency/Extension,NA,NA,0,0,0,NA,NA,2,Transparency/Extension
2022-05-17T19:49:35Z,2022-05-17T20:00:55Z,100,680,TRUE,2022-05-17T20:00:55Z,R_3L1gNAaOkMNp43x,35-54 years old,Yes,Nature and society,NA,Qualitative,Somewhat,"That the research process could be carried out (near) identically by another research team, based on reproducible study design, methods, analysis, etc.",Somewhat,Rarely,0,0,Data analysis,0,Rarely,To a great extent,Always,To a great extent,Rarely,Rarely,NA,Very little,NA,NA,Very little,Never,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Yes,Yes,NA,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,Rarely,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Rarely,Rarely,Frequently,Occasionally,Rarely,Occasionally,"Nature of long-term qualitative data collection, which includes establishing relationships, rapport, and familiarity with study sites, communities, and people. Even gaining access to informants and communities can be difficult, and also context-dependent. By its very nature doing the same work -- even with the same research protocol in the same place -- could provide different data; although major conclusions may be reproducible.",1,0,0,0,0,NA,Somewhat not important,Somewhat not important,Somewhat not important,Not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat not important,NA,2 - 5 people,Assistant professor/lecturer,NA,Male,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,United States of America,I would like to be entered into the prize draw,Nature/society,Assistant professor/lecturer,0,0,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,Standard,NA,NA,0,0,0,NA,NA,2,Standard
