hegs_id,disposition_final
28272,1.1
25915,1.1
2975,1.1
4660,1.1
4466,1.1
3034,1.1
13602,1.1
10728,1.1
24675,1.1
21077,1.1
1124,1.1
20834,1.1
26877,1.1
27712,1.1
19926,1.1
8119,1.1
1704,1.1
23663,1.1
18154,1.1
12023,1.1
24978,1.1
29550,1.1
16101,1.1
2091,1.1
22166,1.1
21451,1.1
22717,1.1
22176,1.1
17014,1.1
11310,1.1
4587,1.1
19981,1.1
19029,1.1
5931,1.1
24681,1.1
24935,1.1
16137,1.1
5078,1.1
20573,1.1
23816,1.1
9830,1.1
13712,1.1
13666,1.1
5800,1.1
10784,1.1
561,1.1
22450,1.1
23609,1.1
9363,1.1
8310,1.1
1178,1.1
25909,1.1
20495,1.1
1941,1.1
14299,1.1
1144,1.1
29567,1.1
15229,1.1
6031,1.1
20234,1.1
21740,1.1
6464,1.1
1103,1.1
25645,1.1
24718,1.1
10912,1.1
11232,1.1
4687,1.1
20612,1.1
1239,1.1
28344,1.1
25060,1.1
5674,1.1
10540,1.1
20418,1.1
5128,1.1
18340,1.1
23855,1.1
14564,1.1
21157,1.1
19772,1.1
23985,1.1
27120,1.1
6805,1.1
28696,1.1
14694,1.1
16262,1.1
23901,1.1
5115,1.1
6277,1.1
24444,1.1
15819,1.1
10966,1.1
23526,1.1
24795,1.1
7787,1.1
29614,1.1
28902,1.1
2483,1.1
1814,1.1
21494,1.1
12005,1.1
28178,1.1
6133,1.1
14878,1.1
23536,1.1
24305,1.1
16419,1.1
3141,1.1
23600,1.1
12245,1.1
15437,1.1
20354,1.1
7576,1.1
28076,1.1
26701,1.1
26234,1.1
27077,1.1
5605,1.1
14305,1.1
18470,1.1
2293,1.1
10096,1.1
4691,1.1
24981,1.1
8143,1.1
16879,1.1
4059,1.1
3619,1.1
19419,1.1
5885,1.1
2776,1.1
16893,1.1
6369,1.1
24626,1.1
18651,1.1
16887,1.1
9450,1.1
6582,1.1
24553,1.1
5802,1.1
25599,1.1
10908,1.1
5451,1.1
12379,1.1
2845,1.1
24678,1.1
9923,1.1
6292,1.1
28942,1.1
21106,1.1
24933,1.1
28393,1.1
21113,1.1
15213,1.1
15681,1.1
14993,1.1
15096,1.1
16377,1.1
3097,1.1
9984,1.1
27296,1.1
11791,1.1
14401,1.1
8523,1.1
8313,1.1
14404,1.1
20973,1.1
28741,1.1
2620,1.1
895,1.1
27522,1.1
1957,1.1
2553,1.1
19286,1.1
14540,1.1
2148,1.1
24775,1.1
25849,1.1
1171,1.1
26151,1.1
20165,1.1
23998,1.1
10045,1.1
9851,1.1
24862,1.1
8835,1.1
7045,1.1
3057,1.1
25782,1.1
22405,1.1
29290,1.1
11723,1.1
14600,1.1
23956,1.1
20361,1.1
19303,1.1
8145,1.1
5756,1.1
5069,1.1
9462,1.1
14383,1.1
6020,1.1
15179,1.1
27442,1.1
2430,1.1
19562,1.1
13011,1.1
11182,1.1
15833,1.2
2014,1.2
24851,1.2
5653,1.2
6686,1.2
24810,1.2
9925,2.111
26017,2.111
3902,2.111
9988,2.111
2749,2.111
21849,2.111
12320,2.111
11099,2.111
7889,2.111
15072,2.111
25587,2.111
28313,2.111
26474,2.111
3985,2.111
246,2.111
8557,2.111
21083,2.111
25694,2.111
17398,2.112
17201,2.112
28055,2.112
7108,2.112
13953,2.112
2283,2.112
26837,2.112
6808,2.112
10537,2.1121
22591,2.1121
182,2.1121
10240,2.1121
17681,2.1121
