"","18-34 years old","35-54 years old","55+ years old"
"",0,1.87,0
"Funding agency",0.47,0.47,0
"Journal editor(s)",0,0.47,0
"Journal editor(s),Funding agency",0,0.47,0
"Other (specify)",0.93,2.8,0.93
"Peer-reviewer(s)",0.93,1.87,0.47
"Peer-reviewer(s),Funding agency",0.47,0,0
"Principal investigator of the study",7.01,27.1,9.81
"Principal investigator of the study,Funding agency",1.87,3.27,0.93
"Principal investigator of the study,Funding agency,Other (specify)",0,0.47,0.47
"Principal investigator of the study,Journal editor(s)",0.47,1.87,0
"Principal investigator of the study,Journal editor(s),Funding agency",0.47,2.8,0
"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",0.47,0.47,0
"Principal investigator of the study,Other (specify)",0.47,0.47,0
"Principal investigator of the study,Peer-reviewer(s)",3.74,4.67,1.4
"Principal investigator of the study,Peer-reviewer(s),Funding agency",0,2.34,0.47
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",0.93,5.14,1.87
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",0.93,4.67,1.4
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency,Other (specify)",0,0.47,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Other (specify)",0,0.47,0
"Principal investigator of the study,Peer-reviewer(s),Other (specify)",0.47,0.47,0
