"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,0.86,0
"Funding agency",0,1.35,0,5.88
"Journal editor(s)",0,0,0.86,0
"Journal editor(s),Funding agency",0,1.35,0,0
"Other (specify)",0,4.05,6.03,0
"Peer-reviewer(s)",0,5.41,1.72,5.88
"Peer-reviewer(s),Funding agency",0,0,0.86,0
"Principal investigator of the study",28.57,55.41,37.07,47.06
"Principal investigator of the study,Funding agency",14.29,4.05,6.9,5.88
"Principal investigator of the study,Funding agency,Other (specify)",0,1.35,0,5.88
"Principal investigator of the study,Journal editor(s)",0,1.35,3.45,0
"Principal investigator of the study,Journal editor(s),Funding agency",14.29,0,3.45,11.76
"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",0,0,1.72,0
"Principal investigator of the study,Other (specify)",0,1.35,0.86,0
"Principal investigator of the study,Peer-reviewer(s)",0,12.16,8.62,11.76
"Principal investigator of the study,Peer-reviewer(s),Funding agency",14.29,4.05,1.72,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",14.29,1.35,12.07,5.88
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",0,4.05,10.34,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency,Other (specify)",0,0,0.86,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Other (specify)",0,0,0.86,0
"Principal investigator of the study,Peer-reviewer(s),Other (specify)",0,0,1.72,0
