"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"0",9.43,0,0,0,0,0
"0.11",0,0,0,1.92,0,0
"1",0,0,9.52,0,0,0
"3",0,1.69,0,0,0,0
"5",7.55,1.69,4.76,0,0,0
"10",9.43,1.69,9.52,3.85,0,0
"15",3.77,0,0,1.92,0,0
"20",3.77,1.69,0,0,0,0
"25",3.77,1.69,0,1.92,0,0
"30",5.66,3.39,4.76,11.54,0,0
"35",0,0,0,1.92,0,0
"40",3.77,3.39,0,1.92,0,0
"45",0,0,4.76,0,0,0
"50",24.53,18.64,28.57,21.15,0,0
"60",13.21,8.47,4.76,9.62,0,0
"65",0,1.69,0,1.92,0,0
"70",1.89,8.47,23.81,7.69,0,0
"75",1.89,5.08,0,11.54,0,0
"80",7.55,18.64,9.52,7.69,100,0
"85",0,3.39,0,1.92,0,0
"90",3.77,8.47,0,7.69,0,0
"95",0,3.39,0,0,0,0
"100",0,8.47,0,5.77,0,100
