"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0.47,1.87,0,0,0
"Assistant professor/lecturer",0,3.27,3.27,1.87,0.93,1.87
"Associate professor/lecturer",0.47,6.07,7.48,1.4,5.61,7.48
"Full professor/lecturer",0.47,6.54,5.61,1.87,0.93,5.14
"Graduate student (PhD, masters)",0,2.34,2.34,0.47,0.47,2.34
"Laboratory director/head",0,0,0.47,0,0,0
"Other (specify)",0,0.47,0.47,0.47,0.93,0.47
"Post-doctoral fellow",0,1.4,1.4,1.87,2.34,5.14
"Research scientist",0,3.74,0.93,0.47,1.4,6.54
"Technician/research assistant",0,0.93,0,0,0,0
