"","","Mixed Methods","Qualitative","Quantitative"
"",0,2.41,5.26,0
"Funding agency",0,1.2,2.63,0
"Journal editor(s)",0,0,0,1.09
"Journal editor(s),Funding agency",0,0,0,1.09
"Other (specify)",0,4.82,7.89,3.26
"Peer-reviewer(s)",0,2.41,5.26,3.26
"Peer-reviewer(s),Funding agency",0,0,0,1.09
"Principal investigator of the study",100,40.96,50,43.48
"Principal investigator of the study,Funding agency",0,6.02,2.63,7.61
"Principal investigator of the study,Funding agency,Other (specify)",0,1.2,2.63,0
"Principal investigator of the study,Journal editor(s)",0,2.41,0,3.26
"Principal investigator of the study,Journal editor(s),Funding agency",0,6.02,0,2.17
"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",0,1.2,0,1.09
"Principal investigator of the study,Other (specify)",0,0,0,2.17
"Principal investigator of the study,Peer-reviewer(s)",0,12.05,7.89,8.7
"Principal investigator of the study,Peer-reviewer(s),Funding agency",0,3.61,2.63,2.17
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",0,7.23,7.89,8.7
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",0,6.02,5.26,8.7
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency,Other (specify)",0,1.2,0,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Other (specify)",0,1.2,0,0
"Principal investigator of the study,Peer-reviewer(s),Other (specify)",0,0,0,2.17
