"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Subdiscipline","","","","",""
"  Human","13 (14.1%)","30 (75.0%)","24 (28.2%)","0 (0%)","67 (30.7%)"
"  Physical","34 (37.0%)","1 (2.5%)","30 (35.3%)","0 (0%)","65 (29.8%)"
"  Nature/society","4 (4.3%)","9 (22.5%)","9 (10.6%)","0 (0%)","22 (10.1%)"
"  Methods","39 (42.4%)","0 (0%)","22 (25.9%)","0 (0%)","61 (28.0%)"
"  Other","1 (1.1%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"  NA","1 (1.1%)","0 (0%)","0 (0%)","1 (100%)","2 (0.9%)"
"Size of lab","","","","",""
"  1 person","5 (5.4%)","9 (22.5%)","2 (2.4%)","1 (100%)","17 (7.8%)"
"  2 - 5 people","32 (34.8%)","14 (35.0%)","35 (41.2%)","0 (0%)","81 (37.2%)"
"  6 - 10 people","36 (39.1%)","5 (12.5%)","22 (25.9%)","0 (0%)","63 (28.9%)"
"  11 - 15 people","6 (6.5%)","2 (5.0%)","10 (11.8%)","0 (0%)","18 (8.3%)"
"  16+ people","12 (13.0%)","3 (7.5%)","11 (12.9%)","0 (0%)","26 (11.9%)"
"Title","","","","",""
"  Full professor/lecturer","22 (23.9%)","6 (15.0%)","14 (16.5%)","1 (100%)","43 (19.7%)"
"  Associate professor/lecturer","22 (23.9%)","11 (27.5%)","28 (32.9%)","0 (0%)","61 (28.0%)"
"  Assistant professor/lecturer","6 (6.5%)","9 (22.5%)","9 (10.6%)","0 (0%)","24 (11.0%)"
"  Laboratory director/head","1 (1.1%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"  Research scientist","13 (14.1%)","1 (2.5%)","14 (16.5%)","0 (0%)","28 (12.8%)"
"  Post-doctoral fellow","15 (16.3%)","4 (10.0%)","7 (8.2%)","0 (0%)","26 (11.9%)"
"  Graduate student (PhD, masters)","8 (8.7%)","4 (10.0%)","6 (7.1%)","0 (0%)","18 (8.3%)"
"  Technician/research assistant","1 (1.1%)","0 (0%)","1 (1.2%)","0 (0%)","2 (0.9%)"
"  Other (specify)","4 (4.3%)","1 (2.5%)","1 (1.2%)","0 (0%)","6 (2.8%)"
"Gender","","","","",""
"  Female","27 (29.3%)","17 (42.5%)","22 (25.9%)","0 (0%)","66 (30.3%)"
"  Male","65 (70.7%)","18 (45.0%)","58 (68.2%)","1 (100%)","142 (65.1%)"
"  Non-binary / third gender","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Prefer to self-describe","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Prefer not to say","0 (0%)","1 (2.5%)","0 (0%)","0 (0%)","1 (0.5%)"
"Age","","","","",""
"  Under 18","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  18-34 years old","19 (20.7%)","8 (20.0%)","17 (20.0%)","0 (0%)","44 (20.2%)"
"  35-54 years old","56 (60.9%)","26 (65.0%)","54 (63.5%)","0 (0%)","136 (62.4%)"
"  55+ years old","17 (18.5%)","6 (15.0%)","14 (16.5%)","1 (100%)","38 (17.4%)"
