"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Familiarity with reproducibility","","","","","","",""
"  To a great extent","30 (44.8%)","39 (60.0%)","11 (50.0%)","35 (57.4%)","1 (100%)","1 (50.0%)","117 (53.7%)"
"  Somewhat","26 (38.8%)","22 (33.8%)","9 (40.9%)","20 (32.8%)","0 (0%)","0 (0%)","77 (35.3%)"
"  Very little","8 (11.9%)","2 (3.1%)","1 (4.5%)","5 (8.2%)","0 (0%)","1 (50.0%)","17 (7.8%)"
"  Not at all","3 (4.5%)","2 (3.1%)","1 (4.5%)","1 (1.6%)","0 (0%)","0 (0%)","7 (3.2%)"
"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Familiarity with reproducibility","","","","","","",""
"  To a great extent","30 (44.8%)","39 (60.0%)","11 (50.0%)","35 (57.4%)","1 (100%)","1 (50.0%)","117 (53.7%)"
"  Somewhat","26 (38.8%)","22 (33.8%)","9 (40.9%)","20 (32.8%)","0 (0%)","0 (0%)","77 (35.3%)"
"  Very little","8 (11.9%)","2 (3.1%)","1 (4.5%)","5 (8.2%)","0 (0%)","1 (50.0%)","17 (7.8%)"
"  Not at all","3 (4.5%)","2 (3.1%)","1 (4.5%)","1 (1.6%)","0 (0%)","0 (0%)","7 (3.2%)"
