"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Familiarity with reproducibility","","","","",""
"  To a great extent","63 (68.5%)","12 (30.0%)","42 (49.4%)","0 (0%)","117 (53.7%)"
"  Somewhat","25 (27.2%)","17 (42.5%)","35 (41.2%)","0 (0%)","77 (35.3%)"
"  Very little","3 (3.3%)","7 (17.5%)","6 (7.1%)","1 (100%)","17 (7.8%)"
"  Not at all","1 (1.1%)","4 (10.0%)","2 (2.4%)","0 (0%)","7 (3.2%)"
"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Familiarity with reproducibility","","","","",""
"  To a great extent","63 (68.5%)","12 (30.0%)","42 (49.4%)","0 (0%)","117 (53.7%)"
"  Somewhat","25 (27.2%)","17 (42.5%)","35 (41.2%)","0 (0%)","77 (35.3%)"
"  Very little","3 (3.3%)","7 (17.5%)","6 (7.1%)","1 (100%)","17 (7.8%)"
"  Not at all","1 (1.1%)","4 (10.0%)","2 (2.4%)","0 (0%)","7 (3.2%)"
