"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Failing to reproduce a result often means the original finding is false","","","","","","",""
"  Agree","4 (6.0%)","22 (33.8%)","3 (13.6%)","22 (36.1%)","0 (0%)","1 (50.0%)","52 (23.9%)"
"  Disagree","35 (52.2%)","29 (44.6%)","11 (50.0%)","30 (49.2%)","1 (100%)","1 (50.0%)","107 (49.1%)"
"  Strongly agree","1 (1.5%)","4 (6.2%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","5 (2.3%)"
"  Strongly disagree","24 (35.8%)","4 (6.2%)","8 (36.4%)","4 (6.6%)","0 (0%)","0 (0%)","40 (18.3%)"
"  Missing","3 (4.5%)","6 (9.2%)","0 (0%)","5 (8.2%)","0 (0%)","0 (0%)","14 (6.4%)"
"Failing to reproduce a result rarely detracts from the validity of the original study","","","","","","",""
"  Agree","24 (35.8%)","16 (24.6%)","7 (31.8%)","24 (39.3%)","0 (0%)","1 (50.0%)","72 (33.0%)"
"  Disagree","21 (31.3%)","23 (35.4%)","8 (36.4%)","27 (44.3%)","1 (100%)","1 (50.0%)","81 (37.2%)"
"  Strongly agree","10 (14.9%)","5 (7.7%)","4 (18.2%)","0 (0%)","0 (0%)","0 (0%)","19 (8.7%)"
"  Strongly disagree","5 (7.5%)","11 (16.9%)","1 (4.5%)","3 (4.9%)","0 (0%)","0 (0%)","20 (9.2%)"
"  Missing","7 (10.4%)","10 (15.4%)","2 (9.1%)","7 (11.5%)","0 (0%)","0 (0%)","26 (11.9%)"
"If a researcher does not share the data used in their study, I trust the results less","","","","","","",""
"  Agree","18 (26.9%)","34 (52.3%)","6 (27.3%)","25 (41.0%)","0 (0%)","1 (50.0%)","84 (38.5%)"
"  Disagree","31 (46.3%)","11 (16.9%)","10 (45.5%)","16 (26.2%)","1 (100%)","1 (50.0%)","70 (32.1%)"
"  Strongly agree","5 (7.5%)","15 (23.1%)","1 (4.5%)","6 (9.8%)","0 (0%)","0 (0%)","27 (12.4%)"
"  Strongly disagree","13 (19.4%)","2 (3.1%)","2 (9.1%)","10 (16.4%)","0 (0%)","0 (0%)","27 (12.4%)"
"  Missing","0 (0%)","3 (4.6%)","3 (13.6%)","4 (6.6%)","0 (0%)","0 (0%)","10 (4.6%)"
"It is important for students to attempt reproductions as part of their training","","","","","","",""
"  Agree","28 (41.8%)","33 (50.8%)","15 (68.2%)","35 (57.4%)","0 (0%)","2 (100%)","113 (51.8%)"
"  Disagree","16 (23.9%)","4 (6.2%)","5 (22.7%)","4 (6.6%)","1 (100%)","0 (0%)","30 (13.8%)"
"  Strongly agree","6 (9.0%)","25 (38.5%)","1 (4.5%)","20 (32.8%)","0 (0%)","0 (0%)","52 (23.9%)"
"  Strongly disagree","5 (7.5%)","1 (1.5%)","1 (4.5%)","0 (0%)","0 (0%)","0 (0%)","7 (3.2%)"
"  Missing","12 (17.9%)","2 (3.1%)","0 (0%)","2 (3.3%)","0 (0%)","0 (0%)","16 (7.3%)"
"To be credible, research must be reproducible","","","","","","",""
"  Agree","24 (35.8%)","32 (49.2%)","10 (45.5%)","30 (49.2%)","1 (100%)","2 (100%)","99 (45.4%)"
"  Disagree","20 (29.9%)","7 (10.8%)","6 (27.3%)","9 (14.8%)","0 (0%)","0 (0%)","42 (19.3%)"
"  Strongly agree","6 (9.0%)","23 (35.4%)","1 (4.5%)","16 (26.2%)","0 (0%)","0 (0%)","46 (21.1%)"
"  Strongly disagree","14 (20.9%)","2 (3.1%)","5 (22.7%)","3 (4.9%)","0 (0%)","0 (0%)","24 (11.0%)"
"  Missing","3 (4.5%)","1 (1.5%)","0 (0%)","3 (4.9%)","0 (0%)","0 (0%)","7 (3.2%)"
"Reproducibility is incompatible with the epistemologies within my subfield","","","","","","",""
"  Agree","22 (32.8%)","6 (9.2%)","6 (27.3%)","7 (11.5%)","0 (0%)","0 (0%)","41 (18.8%)"
"  Disagree","20 (29.9%)","25 (38.5%)","7 (31.8%)","26 (42.6%)","0 (0%)","1 (50.0%)","79 (36.2%)"
"  Strongly agree","11 (16.4%)","2 (3.1%)","5 (22.7%)","1 (1.6%)","0 (0%)","1 (50.0%)","20 (9.2%)"
"  Strongly disagree","9 (13.4%)","19 (29.2%)","3 (13.6%)","17 (27.9%)","0 (0%)","0 (0%)","48 (22.0%)"
"  Missing","5 (7.5%)","13 (20.0%)","1 (4.5%)","10 (16.4%)","1 (100%)","0 (0%)","30 (13.8%)"
