"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Failing to reproduce a result often means the original finding is false","","","","",""
"  Agree","24 (26.1%)","1 (2.5%)","26 (30.6%)","1 (100%)","52 (23.9%)"
"  Disagree","55 (59.8%)","16 (40.0%)","36 (42.4%)","0 (0%)","107 (49.1%)"
"  Strongly agree","1 (1.1%)","0 (0%)","4 (4.7%)","0 (0%)","5 (2.3%)"
"  Strongly disagree","6 (6.5%)","22 (55.0%)","12 (14.1%)","0 (0%)","40 (18.3%)"
"  Missing","6 (6.5%)","1 (2.5%)","7 (8.2%)","0 (0%)","14 (6.4%)"
"Failing to reproduce a result rarely detracts from the validity of the original study","","","","",""
"  Agree","32 (34.8%)","18 (45.0%)","22 (25.9%)","0 (0%)","72 (33.0%)"
"  Disagree","40 (43.5%)","5 (12.5%)","35 (41.2%)","1 (100%)","81 (37.2%)"
"  Strongly agree","2 (2.2%)","9 (22.5%)","8 (9.4%)","0 (0%)","19 (8.7%)"
"  Strongly disagree","9 (9.8%)","3 (7.5%)","8 (9.4%)","0 (0%)","20 (9.2%)"
"  Missing","9 (9.8%)","5 (12.5%)","12 (14.1%)","0 (0%)","26 (11.9%)"
"If a researcher does not share the data used in their study, I trust the results less","","","","",""
"  Agree","38 (41.3%)","10 (25.0%)","35 (41.2%)","1 (100%)","84 (38.5%)"
"  Disagree","29 (31.5%)","19 (47.5%)","22 (25.9%)","0 (0%)","70 (32.1%)"
"  Strongly agree","11 (12.0%)","1 (2.5%)","15 (17.6%)","0 (0%)","27 (12.4%)"
"  Strongly disagree","11 (12.0%)","8 (20.0%)","8 (9.4%)","0 (0%)","27 (12.4%)"
"  Missing","3 (3.3%)","2 (5.0%)","5 (5.9%)","0 (0%)","10 (4.6%)"
"It is important for students to attempt reproductions as part of their training","","","","",""
"  Agree","58 (63.0%)","15 (37.5%)","39 (45.9%)","1 (100%)","113 (51.8%)"
"  Disagree","9 (9.8%)","14 (35.0%)","7 (8.2%)","0 (0%)","30 (13.8%)"
"  Strongly agree","21 (22.8%)","1 (2.5%)","30 (35.3%)","0 (0%)","52 (23.9%)"
"  Strongly disagree","1 (1.1%)","5 (12.5%)","1 (1.2%)","0 (0%)","7 (3.2%)"
"  Missing","3 (3.3%)","5 (12.5%)","8 (9.4%)","0 (0%)","16 (7.3%)"
"To be credible, research must be reproducible","","","","",""
"  Agree","56 (60.9%)","7 (17.5%)","35 (41.2%)","1 (100%)","99 (45.4%)"
"  Disagree","11 (12.0%)","19 (47.5%)","12 (14.1%)","0 (0%)","42 (19.3%)"
"  Strongly agree","22 (23.9%)","0 (0%)","24 (28.2%)","0 (0%)","46 (21.1%)"
"  Strongly disagree","2 (2.2%)","12 (30.0%)","10 (11.8%)","0 (0%)","24 (11.0%)"
"  Missing","1 (1.1%)","2 (5.0%)","4 (4.7%)","0 (0%)","7 (3.2%)"
"Reproducibility is incompatible with the epistemologies within my subfield","","","","",""
"  Agree","6 (6.5%)","17 (42.5%)","18 (21.2%)","0 (0%)","41 (18.8%)"
"  Disagree","41 (44.6%)","7 (17.5%)","31 (36.5%)","0 (0%)","79 (36.2%)"
"  Strongly disagree","30 (32.6%)","0 (0%)","18 (21.2%)","0 (0%)","48 (22.0%)"
"  Strongly agree","0 (0%)","13 (32.5%)","6 (7.1%)","1 (100%)","20 (9.2%)"
"  Missing","15 (16.3%)","3 (7.5%)","12 (14.1%)","0 (0%)","30 (13.8%)"
