"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Validating research findings","","","","","","",""
"  Not important","10 (14.9%)","1 (1.5%)","3 (13.6%)","3 (4.9%)","0 (0%)","0 (0%)","17 (7.8%)"
"  Somewhat important","22 (32.8%)","21 (32.3%)","6 (27.3%)","23 (37.7%)","0 (0%)","0 (0%)","72 (33.0%)"
"  Somewhat not important","15 (22.4%)","3 (4.6%)","5 (22.7%)","2 (3.3%)","0 (0%)","0 (0%)","25 (11.5%)"
"  Very important","12 (17.9%)","40 (61.5%)","7 (31.8%)","31 (50.8%)","1 (100%)","1 (50.0%)","92 (42.2%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","2 (3.3%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Reducing the risk of errors in the research process","","","","","","",""
"  Not important","8 (11.9%)","0 (0%)","4 (18.2%)","2 (3.3%)","0 (0%)","0 (0%)","14 (6.4%)"
"  Somewhat important","26 (38.8%)","21 (32.3%)","6 (27.3%)","21 (34.4%)","1 (100%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","13 (19.4%)","3 (4.6%)","4 (18.2%)","2 (3.3%)","0 (0%)","0 (0%)","22 (10.1%)"
"  Very important","12 (17.9%)","41 (63.1%)","7 (31.8%)","33 (54.1%)","0 (0%)","1 (50.0%)","94 (43.1%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","3 (4.9%)","0 (0%)","1 (50.0%)","13 (6.0%)"
"Increasing trust in study results","","","","","","",""
"  Not important","6 (9.0%)","0 (0%)","3 (13.6%)","1 (1.6%)","0 (0%)","0 (0%)","10 (4.6%)"
"  Somewhat important","27 (40.3%)","11 (16.9%)","6 (27.3%)","16 (26.2%)","0 (0%)","0 (0%)","60 (27.5%)"
"  Somewhat not important","11 (16.4%)","5 (7.7%)","6 (27.3%)","3 (4.9%)","0 (0%)","0 (0%)","25 (11.5%)"
"  Very important","15 (22.4%)","49 (75.4%)","7 (31.8%)","38 (62.3%)","1 (100%)","1 (50.0%)","111 (50.9%)"
"  Missing","8 (11.9%)","0 (0%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Preventing duplication of efforts in future research projects","","","","","","",""
"  Not important","11 (16.4%)","1 (1.5%)","7 (31.8%)","2 (3.3%)","0 (0%)","0 (0%)","21 (9.6%)"
"  Somewhat important","20 (29.9%)","22 (33.8%)","4 (18.2%)","28 (45.9%)","1 (100%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","19 (28.4%)","16 (24.6%)","6 (27.3%)","4 (6.6%)","0 (0%)","1 (50.0%)","46 (21.1%)"
"  Very important","9 (13.4%)","26 (40.0%)","4 (18.2%)","24 (39.3%)","0 (0%)","0 (0%)","63 (28.9%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","3 (4.9%)","0 (0%)","1 (50.0%)","13 (6.0%)"
"Establishing credibility of research in geography","","","","","","",""
"  Not important","7 (10.4%)","2 (3.1%)","4 (18.2%)","3 (4.9%)","0 (0%)","0 (0%)","16 (7.3%)"
"  Somewhat important","21 (31.3%)","24 (36.9%)","8 (36.4%)","23 (37.7%)","0 (0%)","0 (0%)","76 (34.9%)"
"  Somewhat not important","19 (28.4%)","3 (4.6%)","5 (22.7%)","3 (4.9%)","0 (0%)","0 (0%)","30 (13.8%)"
