"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Validating research findings","","","","",""
"  Very important","46 (50.0%)","4 (10.0%)","41 (48.2%)","1 (100%)","92 (42.2%)"
"  Somewhat important","35 (38.0%)","6 (15.0%)","31 (36.5%)","0 (0%)","72 (33.0%)"
"  Somewhat not important","5 (5.4%)","14 (35.0%)","6 (7.1%)","0 (0%)","25 (11.5%)"
"  Not important","5 (5.4%)","10 (25.0%)","2 (2.4%)","0 (0%)","17 (7.8%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Reducing the risk of errors in the research process","","","","",""
"  Very important","46 (50.0%)","3 (7.5%)","44 (51.8%)","1 (100%)","94 (43.1%)"
"  Somewhat important","38 (41.3%)","9 (22.5%)","28 (32.9%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","5 (5.4%)","12 (30.0%)","5 (5.9%)","0 (0%)","22 (10.1%)"
"  Not important","2 (2.2%)","10 (25.0%)","2 (2.4%)","0 (0%)","14 (6.4%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Increasing trust in study results","","","","",""
"  Very important","59 (64.1%)","3 (7.5%)","48 (56.5%)","1 (100%)","111 (50.9%)"
"  Somewhat important","25 (27.2%)","12 (30.0%)","23 (27.1%)","0 (0%)","60 (27.5%)"
"  Somewhat not important","6 (6.5%)","11 (27.5%)","8 (9.4%)","0 (0%)","25 (11.5%)"
"  Not important","1 (1.1%)","8 (20.0%)","1 (1.2%)","0 (0%)","10 (4.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Preventing duplication of efforts in future research projects","","","","",""
"  Very important","26 (28.3%)","3 (7.5%)","34 (40.0%)","0 (0%)","63 (28.9%)"
"  Somewhat important","42 (45.7%)","7 (17.5%)","26 (30.6%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","20 (21.7%)","15 (37.5%)","10 (11.8%)","1 (100%)","46 (21.1%)"
"  Not important","3 (3.3%)","9 (22.5%)","9 (10.6%)","0 (0%)","21 (9.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Establishing credibility of research in geography","","","","",""
"  Very important","39 (42.4%)","4 (10.0%)","38 (44.7%)","1 (100%)","82 (37.6%)"
"  Somewhat important","42 (45.7%)","7 (17.5%)","27 (31.8%)","0 (0%)","76 (34.9%)"
"  Somewhat not important","6 (6.5%)","13 (32.5%)","11 (12.9%)","0 (0%)","30 (13.8%)"
"  Not important","3 (3.3%)","9 (22.5%)","4 (4.7%)","0 (0%)","16 (7.3%)"
