"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Percentage of published results that are reproducible: Geography","","","","",""
"  Mean (SD)","47.9 (24.6)","43.2 (23.5)","55.8 (23.8)","100 (NA)","50.5 (24.7)"
"  Median [Min, Max]","50.0 [0, 100]","50.0 [0, 80.0]","50.0 [10.0, 100]","100 [100, 100]","50.0 [0, 100]"
"  Missing","18 (19.6%)","7 (17.5%)","12 (14.1%)","0 (0%)","37 (17.0%)"
"Percentage of published results that are reproducible: Subfield","","","","",""
"  Mean (SD)","56.4 (23.3)","26.9 (26.4)","62.8 (25.3)","100 (NA)","54.2 (27.8)"
"  Median [Min, Max]","60.0 [0.110, 100]","17.5 [0, 90.0]","60.0 [1.00, 100]","100 [100, 100]","50.0 [0, 100]"
"  Missing","14 (15.2%)","8 (20.0%)","9 (10.6%)","0 (0%)","31 (14.2%)"
"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Percentage of published results that are reproducible: Geography","","","","",""
"  Mean (SD)","47.9 (24.6)","43.2 (23.5)","55.8 (23.8)","100 (NA)","50.5 (24.7)"
"  Median [Min, Max]","50.0 [0, 100]","50.0 [0, 80.0]","50.0 [10.0, 100]","100 [100, 100]","50.0 [0, 100]"
"  Missing","18 (19.6%)","7 (17.5%)","12 (14.1%)","0 (0%)","37 (17.0%)"
"Percentage of published results that are reproducible: Subfield","","","","",""
"  Mean (SD)","56.4 (23.3)","26.9 (26.4)","62.8 (25.3)","100 (NA)","54.2 (27.8)"
"  Median [Min, Max]","60.0 [0.110, 100]","17.5 [0, 90.0]","60.0 [1.00, 100]","100 [100, 100]","50.0 [0, 100]"
"  Missing","14 (15.2%)","8 (20.0%)","9 (10.6%)","0 (0%)","31 (14.2%)"
