"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Familiarity with open source software","","","","","","",""
"  To a great extent","18 (26.9%)","31 (47.7%)","9 (40.9%)","44 (72.1%)","1 (100%)","0 (0%)","103 (47.2%)"
"  Somewhat","30 (44.8%)","28 (43.1%)","7 (31.8%)","17 (27.9%)","0 (0%)","1 (50.0%)","83 (38.1%)"
"  Very little","12 (17.9%)","6 (9.2%)","4 (18.2%)","0 (0%)","0 (0%)","0 (0%)","22 (10.1%)"
"  Not at all","7 (10.4%)","0 (0%)","2 (9.1%)","0 (0%)","0 (0%)","0 (0%)","9 (4.1%)"
"Familiarity with lab, field, or computational notebooks","","","","","","",""
"  To a great extent","7 (10.4%)","33 (50.8%)","6 (27.3%)","18 (29.5%)","0 (0%)","0 (0%)","64 (29.4%)"
"  Somewhat","17 (25.4%)","26 (40.0%)","8 (36.4%)","29 (47.5%)","1 (100%)","1 (50.0%)","82 (37.6%)"
"  Very little","21 (31.3%)","2 (3.1%)","3 (13.6%)","8 (13.1%)","0 (0%)","0 (0%)","34 (15.6%)"
"  Not at all","22 (32.8%)","4 (6.2%)","5 (22.7%)","5 (8.2%)","0 (0%)","1 (50.0%)","37 (17.0%)"
"Familiarity with sharing or archiving data","","","","","","",""
"  To a great extent","19 (28.4%)","45 (69.2%)","11 (50.0%)","33 (54.1%)","0 (0%)","0 (0%)","108 (49.5%)"
"  Somewhat","29 (43.3%)","17 (26.2%)","5 (22.7%)","27 (44.3%)","1 (100%)","2 (100%)","81 (37.2%)"
"  Very little","16 (23.9%)","3 (4.6%)","4 (18.2%)","1 (1.6%)","0 (0%)","0 (0%)","24 (11.0%)"
"  Not at all","3 (4.5%)","0 (0%)","2 (9.1%)","0 (0%)","0 (0%)","0 (0%)","5 (2.3%)"
"Familiarity with publicly sharing code or scripts","","","","","","",""
"  To a great extent","12 (17.9%)","19 (29.2%)","5 (22.7%)","25 (41.0%)","0 (0%)","0 (0%)","61 (28.0%)"
"  Somewhat","14 (20.9%)","23 (35.4%)","5 (22.7%)","26 (42.6%)","0 (0%)","0 (0%)","68 (31.2%)"
"  Very little","12 (17.9%)","12 (18.5%)","4 (18.2%)","7 (11.5%)","1 (100%)","1 (50.0%)","37 (17.0%)"
"  Not at all","29 (43.3%)","11 (16.9%)","8 (36.4%)","3 (4.9%)","0 (0%)","1 (50.0%)","52 (23.9%)"
"Familiarity with pre-registering research designs or protocols","","","","","","",""
"  To a great extent","2 (3.0%)","3 (4.6%)","3 (13.6%)","6 (9.8%)","0 (0%)","0 (0%)","14 (6.4%)"
"  Somewhat","10 (14.9%)","16 (24.6%)","3 (13.6%)","17 (27.9%)","0 (0%)","0 (0%)","46 (21.1%)"
"  Very little","11 (16.4%)","20 (30.8%)","5 (22.7%)","18 (29.5%)","1 (100%)","0 (0%)","55 (25.2%)"
"  Not at all","44 (65.7%)","26 (40.0%)","11 (50.0%)","20 (32.8%)","0 (0%)","2 (100%)","103 (47.2%)"
