"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Familiarity with open source software","","","","",""
"  To a great extent","59 (64.1%)","4 (10.0%)","40 (47.1%)","0 (0%)","103 (47.2%)"
"  Somewhat","30 (32.6%)","17 (42.5%)","36 (42.4%)","0 (0%)","83 (38.1%)"
"  Very little","3 (3.3%)","11 (27.5%)","8 (9.4%)","0 (0%)","22 (10.1%)"
"  Not at all","0 (0%)","8 (20.0%)","1 (1.2%)","0 (0%)","9 (4.1%)"
"Familiarity with lab, field, or computational notebooks","","","","",""
"  To a great extent","28 (30.4%)","6 (15.0%)","30 (35.3%)","0 (0%)","64 (29.4%)"
"  Somewhat","41 (44.6%)","10 (25.0%)","31 (36.5%)","0 (0%)","82 (37.6%)"
"  Very little","12 (13.0%)","11 (27.5%)","11 (12.9%)","0 (0%)","34 (15.6%)"
"  Not at all","10 (10.9%)","13 (32.5%)","13 (15.3%)","1 (100%)","37 (17.0%)"
"Familiarity with sharing or archiving data","","","","",""
"  To a great extent","55 (59.8%)","6 (15.0%)","47 (55.3%)","0 (0%)","108 (49.5%)"
"  Somewhat","31 (33.7%)","17 (42.5%)","32 (37.6%)","1 (100%)","81 (37.2%)"
"  Very little","6 (6.5%)","12 (30.0%)","6 (7.1%)","0 (0%)","24 (11.0%)"
"  Not at all","0 (0%)","5 (12.5%)","0 (0%)","0 (0%)","5 (2.3%)"
"Familiarity with publicly sharing code or scripts","","","","",""
"  To a great extent","39 (42.4%)","3 (7.5%)","19 (22.4%)","0 (0%)","61 (28.0%)"
"  Somewhat","36 (39.1%)","2 (5.0%)","30 (35.3%)","0 (0%)","68 (31.2%)"
"  Very little","7 (7.6%)","6 (15.0%)","24 (28.2%)","0 (0%)","37 (17.0%)"
"  Not at all","10 (10.9%)","29 (72.5%)","12 (14.1%)","1 (100%)","52 (23.9%)"
"Familiarity with pre-registering research designs or protocols","","","","",""
"  To a great extent","7 (7.6%)","1 (2.5%)","6 (7.1%)","0 (0%)","14 (6.4%)"
"  Somewhat","19 (20.7%)","4 (10.0%)","23 (27.1%)","0 (0%)","46 (21.1%)"
"  Very little","27 (29.3%)","3 (7.5%)","25 (29.4%)","0 (0%)","55 (25.2%)"
"  Not at all","39 (42.4%)","32 (80.0%)","31 (36.5%)","1 (100%)","103 (47.2%)"
"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Familiarity with open source software","","","","",""
"  To a great extent","59 (64.1%)","4 (10.0%)","40 (47.1%)","0 (0%)","103 (47.2%)"
"  Somewhat","30 (32.6%)","17 (42.5%)","36 (42.4%)","0 (0%)","83 (38.1%)"
"  Very little","3 (3.3%)","11 (27.5%)","8 (9.4%)","0 (0%)","22 (10.1%)"
"  Not at all","0 (0%)","8 (20.0%)","1 (1.2%)","0 (0%)","9 (4.1%)"
"Familiarity with lab, field, or computational notebooks","","","","",""
"  To a great extent","28 (30.4%)","6 (15.0%)","30 (35.3%)","0 (0%)","64 (29.4%)"
"  Somewhat","41 (44.6%)","10 (25.0%)","31 (36.5%)","0 (0%)","82 (37.6%)"
"  Very little","12 (13.0%)","11 (27.5%)","11 (12.9%)","0 (0%)","34 (15.6%)"
"  Not at all","10 (10.9%)","13 (32.5%)","13 (15.3%)","1 (100%)","37 (17.0%)"
"Familiarity with sharing or archiving data","","","","",""
"  To a great extent","55 (59.8%)","6 (15.0%)","47 (55.3%)","0 (0%)","108 (49.5%)"
"  Somewhat","31 (33.7%)","17 (42.5%)","32 (37.6%)","1 (100%)","81 (37.2%)"
"  Very little","6 (6.5%)","12 (30.0%)","6 (7.1%)","0 (0%)","24 (11.0%)"
"  Not at all","0 (0%)","5 (12.5%)","0 (0%)","0 (0%)","5 (2.3%)"
"Familiarity with publicly sharing code or scripts","","","","",""
"  To a great extent","39 (42.4%)","3 (7.5%)","19 (22.4%)","0 (0%)","61 (28.0%)"
"  Somewhat","36 (39.1%)","2 (5.0%)","30 (35.3%)","0 (0%)","68 (31.2%)"
"  Very little","7 (7.6%)","6 (15.0%)","24 (28.2%)","0 (0%)","37 (17.0%)"
"  Not at all","10 (10.9%)","29 (72.5%)","12 (14.1%)","1 (100%)","52 (23.9%)"
"Familiarity with pre-registering research designs or protocols","","","","",""
"  To a great extent","7 (7.6%)","1 (2.5%)","6 (7.1%)","0 (0%)","14 (6.4%)"
"  Somewhat","19 (20.7%)","4 (10.0%)","23 (27.1%)","0 (0%)","46 (21.1%)"
"  Very little","27 (29.3%)","3 (7.5%)","25 (29.4%)","0 (0%)","55 (25.2%)"
"  Not at all","39 (42.4%)","32 (80.0%)","31 (36.5%)","1 (100%)","103 (47.2%)"
