"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Frequency of using open source software","","","","","","",""
"  Always","1 (1.5%)","15 (23.1%)","0 (0%)","13 (21.3%)","0 (0%)","0 (0%)","29 (13.3%)"
"  Most of the time","8 (11.9%)","16 (24.6%)","7 (31.8%)","23 (37.7%)","0 (0%)","0 (0%)","54 (24.8%)"
"  Some of the time","21 (31.3%)","20 (30.8%)","6 (27.3%)","20 (32.8%)","0 (0%)","0 (0%)","67 (30.7%)"
"  Rarely","23 (34.3%)","12 (18.5%)","5 (22.7%)","5 (8.2%)","1 (100%)","1 (50.0%)","47 (21.6%)"
"  Never","14 (20.9%)","2 (3.1%)","4 (18.2%)","0 (0%)","0 (0%)","1 (50.0%)","21 (9.6%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Frequency of using lab, field, or computational notebooks","","","","","","",""
"  Always","1 (1.5%)","22 (33.8%)","4 (18.2%)","8 (13.1%)","0 (0%)","0 (0%)","35 (16.1%)"
"  Most of the time","9 (13.4%)","19 (29.2%)","5 (22.7%)","19 (31.1%)","0 (0%)","0 (0%)","52 (23.9%)"
"  Some of the time","8 (11.9%)","15 (23.1%)","3 (13.6%)","17 (27.9%)","0 (0%)","0 (0%)","43 (19.7%)"
"  Rarely","15 (22.4%)","3 (4.6%)","3 (13.6%)","7 (11.5%)","1 (100%)","1 (50.0%)","30 (13.8%)"
"  Never","33 (49.3%)","6 (9.2%)","7 (31.8%)","9 (14.8%)","0 (0%)","1 (50.0%)","56 (25.7%)"
"  NA","1 (1.5%)","0 (0%)","0 (0%)","1 (1.6%)","0 (0%)","0 (0%)","2 (0.9%)"
"Frequency of using sharing or archiving data","","","","","","",""
"  Always","4 (6.0%)","19 (29.2%)","4 (18.2%)","6 (9.8%)","0 (0%)","1 (50.0%)","34 (15.6%)"
"  Most of the time","10 (14.9%)","27 (41.5%)","5 (22.7%)","21 (34.4%)","0 (0%)","0 (0%)","63 (28.9%)"
"  Some of the time","17 (25.4%)","13 (20.0%)","4 (18.2%)","17 (27.9%)","0 (0%)","0 (0%)","51 (23.4%)"
"  Rarely","18 (26.9%)","5 (7.7%)","4 (18.2%)","14 (23.0%)","1 (100%)","0 (0%)","42 (19.3%)"
"  Never","18 (26.9%)","1 (1.5%)","5 (22.7%)","3 (4.9%)","0 (0%)","1 (50.0%)","28 (12.8%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Frequency of using publicly sharing code or scripts","","","","","","",""
"  Always","3 (4.5%)","5 (7.7%)","1 (4.5%)","6 (9.8%)","0 (0%)","0 (0%)","15 (6.9%)"
"  Most of the time","4 (6.0%)","8 (12.3%)","0 (0%)","14 (23.0%)","0 (0%)","0 (0%)","26 (11.9%)"
"  Some of the time","6 (9.0%)","19 (29.2%)","5 (22.7%)","20 (32.8%)","0 (0%)","0 (0%)","50 (22.9%)"
"  Rarely","14 (20.9%)","16 (24.6%)","1 (4.5%)","11 (18.0%)","1 (100%)","0 (0%)","43 (19.7%)"
"  Never","40 (59.7%)","17 (26.2%)","14 (63.6%)","10 (16.4%)","0 (0%)","2 (100%)","83 (38.1%)"
"  NA","0 (0%)","0 (0%)","1 (4.5%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"Frequency of using pre-registering research designs or protocols","","","","","","",""
"  Always","0 (0%)","1 (1.5%)","0 (0%)","1 (1.6%)","0 (0%)","0 (0%)","2 (0.9%)"
"  Most of the time","0 (0%)","2 (3.1%)","0 (0%)","2 (3.3%)","0 (0%)","0 (0%)","4 (1.8%)"
"  Some of the time","2 (3.0%)","8 (12.3%)","3 (13.6%)","10 (16.4%)","0 (0%)","0 (0%)","23 (10.6%)"
"  Rarely","9 (13.4%)","11 (16.9%)","3 (13.6%)","14 (23.0%)","0 (0%)","0 (0%)","37 (17.0%)"
"  Never","56 (83.6%)","43 (66.2%)","16 (72.7%)","34 (55.7%)","1 (100%)","2 (100%)","152 (69.7%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
