"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Frequency of using open source software","","","","",""
"  Always","17 (18.5%)","1 (2.5%)","11 (12.9%)","0 (0%)","29 (13.3%)"
"  Most of the time","27 (29.3%)","3 (7.5%)","24 (28.2%)","0 (0%)","54 (24.8%)"
"  Some of the time","35 (38.0%)","2 (5.0%)","30 (35.3%)","0 (0%)","67 (30.7%)"
"  Rarely","11 (12.0%)","19 (47.5%)","17 (20.0%)","0 (0%)","47 (21.6%)"
"  Never","2 (2.2%)","15 (37.5%)","3 (3.5%)","1 (100%)","21 (9.6%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Frequency of using lab, field, or computational notebooks","","","","",""
"  Always","17 (18.5%)","3 (7.5%)","15 (17.6%)","0 (0%)","35 (16.1%)"
"  Most of the time","20 (21.7%)","5 (12.5%)","27 (31.8%)","0 (0%)","52 (23.9%)"
"  Some of the time","23 (25.0%)","5 (12.5%)","15 (17.6%)","0 (0%)","43 (19.7%)"
"  Rarely","15 (16.3%)","7 (17.5%)","8 (9.4%)","0 (0%)","30 (13.8%)"
"  Never","16 (17.4%)","20 (50.0%)","19 (22.4%)","1 (100%)","56 (25.7%)"
"  NA","1 (1.1%)","0 (0%)","1 (1.2%)","0 (0%)","2 (0.9%)"
"Frequency of using sharing or archiving data","","","","",""
"  Always","14 (15.2%)","2 (5.0%)","17 (20.0%)","1 (100%)","34 (15.6%)"
"  Most of the time","33 (35.9%)","3 (7.5%)","27 (31.8%)","0 (0%)","63 (28.9%)"
"  Some of the time","22 (23.9%)","5 (12.5%)","24 (28.2%)","0 (0%)","51 (23.4%)"
"  Rarely","18 (19.6%)","12 (30.0%)","12 (14.1%)","0 (0%)","42 (19.3%)"
"  Never","5 (5.4%)","18 (45.0%)","5 (5.9%)","0 (0%)","28 (12.8%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Frequency of using publicly sharing code or scripts","","","","",""
"  Always","6 (6.5%)","2 (5.0%)","7 (8.2%)","0 (0%)","15 (6.9%)"
"  Most of the time","15 (16.3%)","0 (0%)","11 (12.9%)","0 (0%)","26 (11.9%)"
"  Some of the time","33 (35.9%)","0 (0%)","17 (20.0%)","0 (0%)","50 (22.9%)"
"  Rarely","19 (20.7%)","1 (2.5%)","23 (27.1%)","0 (0%)","43 (19.7%)"
"  Never","19 (20.7%)","36 (90.0%)","27 (31.8%)","1 (100%)","83 (38.1%)"
"  NA","0 (0%)","1 (2.5%)","0 (0%)","0 (0%)","1 (0.5%)"
"Frequency of using pre-registering research designs or protocols","","","","",""
"  Always","0 (0%)","0 (0%)","2 (2.4%)","0 (0%)","2 (0.9%)"
"  Most of the time","1 (1.1%)","0 (0%)","3 (3.5%)","0 (0%)","4 (1.8%)"
"  Some of the time","11 (12.0%)","1 (2.5%)","11 (12.9%)","0 (0%)","23 (10.6%)"
"  Rarely","17 (18.5%)","2 (5.0%)","18 (21.2%)","0 (0%)","37 (17.0%)"
"  Never","63 (68.5%)","37 (92.5%)","51 (60.0%)","1 (100%)","152 (69.7%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
