"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Proportion of results: Identically reproduce","","","","","","",""
"  All","4 (6.0%)","9 (13.8%)","1 (4.5%)","5 (8.2%)","1 (100%)","0 (0%)","20 (9.2%)"
"  Some","10 (14.9%)","24 (36.9%)","1 (4.5%)","23 (37.7%)","0 (0%)","0 (0%)","58 (26.6%)"
"  None","3 (4.5%)","9 (13.8%)","1 (4.5%)","7 (11.5%)","0 (0%)","0 (0%)","20 (9.2%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","50 (74.6%)","23 (35.4%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","120 (55.0%)"
"Proportion of results: Partially reproduce","","","","","","",""
"  All","5 (7.5%)","11 (16.9%)","0 (0%)","7 (11.5%)","1 (100%)","0 (0%)","24 (11.0%)"
"  Some","9 (13.4%)","25 (38.5%)","2 (9.1%)","25 (41.0%)","0 (0%)","0 (0%)","61 (28.0%)"
"  None","1 (1.5%)","6 (9.2%)","1 (4.5%)","3 (4.9%)","0 (0%)","0 (0%)","11 (5.0%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","52 (77.6%)","23 (35.4%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","122 (56.0%)"
"Proportion of results: Fail to reproduce","","","","","","",""
"  All","1 (1.5%)","4 (6.2%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","5 (2.3%)"
"  Some","7 (10.4%)","19 (29.2%)","2 (9.1%)","18 (29.5%)","0 (0%)","0 (0%)","46 (21.1%)"
"  None","7 (10.4%)","18 (27.7%)","1 (4.5%)","14 (23.0%)","1 (100%)","0 (0%)","41 (18.8%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","52 (77.6%)","24 (36.9%)","19 (86.4%)","29 (47.5%)","0 (0%)","2 (100%)","126 (57.8%)"
"Ability to access the original study's data","","","","","","",""
"  Yes, all","4 (6.0%)","16 (24.6%)","1 (4.5%)","6 (9.8%)","0 (0%)","0 (0%)","27 (12.4%)"
"  Yes, some","9 (13.4%)","22 (33.8%)","1 (4.5%)","23 (37.7%)","0 (0%)","0 (0%)","55 (25.2%)"
"  No","3 (4.5%)","5 (7.7%)","0 (0%)","5 (8.2%)","1 (100%)","0 (0%)","14 (6.4%)"
"  Did not attempt","2 (3.0%)","0 (0%)","1 (4.5%)","1 (1.6%)","0 (0%)","0 (0%)","4 (1.8%)"
"  Missing","49 (73.1%)","22 (33.8%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","118 (54.1%)"
"Ability to access the original study's code or analytic procedures","","","","","","",""
"  Yes, all","4 (6.0%)","9 (13.8%)","0 (0%)","7 (11.5%)","0 (0%)","0 (0%)","20 (9.2%)"
"  Yes, some","8 (11.9%)","18 (27.7%)","1 (4.5%)","21 (34.4%)","1 (100%)","0 (0%)","49 (22.5%)"
"  No","2 (3.0%)","13 (20.0%)","1 (4.5%)","6 (9.8%)","0 (0%)","0 (0%)","22 (10.1%)"
"  Did not attempt","4 (6.0%)","3 (4.6%)","1 (4.5%)","1 (1.6%)","0 (0%)","0 (0%)","9 (4.1%)"
"  Missing","49 (73.1%)","22 (33.8%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","118 (54.1%)"
"Ability to recreate the computational environment (hardware, software, etc.)","","","","","","",""
"  Yes, all","2 (3.0%)","5 (7.7%)","1 (4.5%)","7 (11.5%)","0 (0%)","0 (0%)","15 (6.9%)"
"  Yes, some","9 (13.4%)","18 (27.7%)","2 (9.1%)","16 (26.2%)","0 (0%)","0 (0%)","45 (20.6%)"
"  No","4 (6.0%)","11 (16.9%)","0 (0%)","8 (13.1%)","1 (100%)","0 (0%)","24 (11.0%)"
"  Did not attempt","3 (4.5%)","9 (13.8%)","0 (0%)","4 (6.6%)","0 (0%)","0 (0%)","16 (7.3%)"
"  Missing","49 (73.1%)","22 (33.8%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","118 (54.1%)"
"Ability to submit your findings for publication","","","","","","",""
"  Yes, all","2 (3.0%)","14 (21.5%)","2 (9.1%)","7 (11.5%)","1 (100%)","0 (0%)","26 (11.9%)"
"  Yes, some","7 (10.4%)","9 (13.8%)","0 (0%)","8 (13.1%)","0 (0%)","0 (0%)","24 (11.0%)"
"  No","0 (0%)","8 (12.3%)","1 (4.5%)","10 (16.4%)","0 (0%)","0 (0%)","19 (8.7%)"
"  Did not attempt","9 (13.4%)","11 (16.9%)","0 (0%)","10 (16.4%)","0 (0%)","0 (0%)","30 (13.8%)"
"  Missing","49 (73.1%)","23 (35.4%)","19 (86.4%)","26 (42.6%)","0 (0%)","2 (100%)","119 (54.6%)"
