"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Proportion of results: Identically reproduce","","","","",""
"  All","9 (9.8%)","0 (0%)","11 (12.9%)","0 (0%)","20 (9.2%)"
"  None","10 (10.9%)","2 (5.0%)","8 (9.4%)","0 (0%)","20 (9.2%)"
"  Some","33 (35.9%)","0 (0%)","25 (29.4%)","0 (0%)","58 (26.6%)"
"  Missing","40 (43.5%)","38 (95.0%)","41 (48.2%)","1 (100%)","120 (55.0%)"
"Proportion of results: Partially reproduce","","","","",""
"  All","14 (15.2%)","0 (0%)","10 (11.8%)","0 (0%)","24 (11.0%)"
"  None","7 (7.6%)","0 (0%)","4 (4.7%)","0 (0%)","11 (5.0%)"
"  Some","30 (32.6%)","2 (5.0%)","29 (34.1%)","0 (0%)","61 (28.0%)"
"  Missing","41 (44.6%)","38 (95.0%)","42 (49.4%)","1 (100%)","122 (56.0%)"
"Proportion of results: Fail to reproduce","","","","",""
"  All","4 (4.3%)","0 (0%)","1 (1.2%)","0 (0%)","5 (2.3%)"
"  None","24 (26.1%)","1 (2.5%)","16 (18.8%)","0 (0%)","41 (18.8%)"
"  Some","22 (23.9%)","1 (2.5%)","23 (27.1%)","0 (0%)","46 (21.1%)"
"  Missing","42 (45.7%)","38 (95.0%)","45 (52.9%)","1 (100%)","126 (57.8%)"
"Ability to access the original study's data","","","","",""
"  No","5 (5.4%)","0 (0%)","9 (10.6%)","0 (0%)","14 (6.4%)"
"  Yes, all","17 (18.5%)","1 (2.5%)","9 (10.6%)","0 (0%)","27 (12.4%)"
"  Yes, some","31 (33.7%)","0 (0%)","24 (28.2%)","0 (0%)","55 (25.2%)"
"  Did not attempt","0 (0%)","1 (2.5%)","3 (3.5%)","0 (0%)","4 (1.8%)"
"  Missing","39 (42.4%)","38 (95.0%)","40 (47.1%)","1 (100%)","118 (54.1%)"
"Ability to access the original study's code or analytic procedures","","","","",""
"  Did not attempt","1 (1.1%)","1 (2.5%)","7 (8.2%)","0 (0%)","9 (4.1%)"
"  No","11 (12.0%)","0 (0%)","11 (12.9%)","0 (0%)","22 (10.1%)"
"  Yes, all","13 (14.1%)","1 (2.5%)","6 (7.1%)","0 (0%)","20 (9.2%)"
"  Yes, some","28 (30.4%)","0 (0%)","21 (24.7%)","0 (0%)","49 (22.5%)"
"  Missing","39 (42.4%)","38 (95.0%)","40 (47.1%)","1 (100%)","118 (54.1%)"
"Ability to recreate the computational environment (hardware, software, etc.)","","","","",""
"  Did not attempt","4 (4.3%)","0 (0%)","12 (14.1%)","0 (0%)","16 (7.3%)"
"  No","13 (14.1%)","0 (0%)","11 (12.9%)","0 (0%)","24 (11.0%)"
"  Yes, all","10 (10.9%)","0 (0%)","5 (5.9%)","0 (0%)","15 (6.9%)"
"  Yes, some","26 (28.3%)","2 (5.0%)","17 (20.0%)","0 (0%)","45 (20.6%)"
"  Missing","39 (42.4%)","38 (95.0%)","40 (47.1%)","1 (100%)","118 (54.1%)"
"Ability to submit your findings for publication","","","","",""
"  Did not attempt","24 (26.1%)","0 (0%)","6 (7.1%)","0 (0%)","30 (13.8%)"
"  No","10 (10.9%)","1 (2.5%)","8 (9.4%)","0 (0%)","19 (8.7%)"
"  Yes, all","11 (12.0%)","1 (2.5%)","14 (16.5%)","0 (0%)","26 (11.9%)"
"  Yes, some","8 (8.7%)","0 (0%)","16 (18.8%)","0 (0%)","24 (11.0%)"
"  Missing","39 (42.4%)","38 (95.0%)","41 (48.2%)","1 (100%)","119 (54.6%)"
