"X.","Human","Physical","Methods","Overall"
"","(N=6)","(N=14)","(N=12)","(N=32)"
"Proportion of results: Identically reproduce","","","",""
"  All","1 (16.7%)","0 (0%)","2 (16.7%)","3 (9.4%)"
"  Some","4 (66.7%)","9 (64.3%)","7 (58.3%)","20 (62.5%)"
"  None","1 (16.7%)","4 (28.6%)","3 (25.0%)","8 (25.0%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","0 (0%)","1 (7.1%)","0 (0%)","1 (3.1%)"
"Proportion of results: Partially reproduce","","","",""
"  All","3 (50.0%)","3 (21.4%)","1 (8.3%)","7 (21.9%)"
"  Some","2 (33.3%)","8 (57.1%)","9 (75.0%)","19 (59.4%)"
"  None","0 (0%)","2 (14.3%)","2 (16.7%)","4 (12.5%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (16.7%)","1 (7.1%)","0 (0%)","2 (6.3%)"
"Proportion of results: Fail to reproduce","","","",""
"  All","1 (16.7%)","2 (14.3%)","0 (0%)","3 (9.4%)"
"  Some","3 (50.0%)","6 (42.9%)","8 (66.7%)","17 (53.1%)"
"  None","2 (33.3%)","5 (35.7%)","3 (25.0%)","10 (31.3%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","0 (0%)","1 (7.1%)","1 (8.3%)","2 (6.3%)"
"Ability to access the original study's data","","","",""
"  Yes, all","1 (16.7%)","2 (14.3%)","1 (8.3%)","4 (12.5%)"
"  Yes, some","4 (66.7%)","11 (78.6%)","9 (75.0%)","24 (75.0%)"
"  No","1 (16.7%)","1 (7.1%)","2 (16.7%)","4 (12.5%)"
"  Did not attempt","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Ability to access the original study's code or analytic procedures","","","",""
"  Yes, all","1 (16.7%)","0 (0%)","2 (16.7%)","3 (9.4%)"
"  Yes, some","5 (83.3%)","6 (42.9%)","8 (66.7%)","19 (59.4%)"
"  No","0 (0%)","8 (57.1%)","2 (16.7%)","10 (31.3%)"
"  Did not attempt","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Ability to recreate the computational environment (hardware, software, etc.)","","","",""
"  Yes, all","1 (16.7%)","0 (0%)","3 (25.0%)","4 (12.5%)"
"  Yes, some","4 (66.7%)","5 (35.7%)","6 (50.0%)","15 (46.9%)"
"  No","1 (16.7%)","6 (42.9%)","2 (16.7%)","9 (28.1%)"
"  Did not attempt","0 (0%)","3 (21.4%)","1 (8.3%)","4 (12.5%)"
"Ability to submit your findings for publication","","","",""
"  Yes, all","0 (0%)","2 (14.3%)","1 (8.3%)","3 (9.4%)"
"  Yes, some","2 (33.3%)","2 (14.3%)","1 (8.3%)","5 (15.6%)"
"  No","0 (0%)","3 (21.4%)","4 (33.3%)","7 (21.9%)"
"  Did not attempt","4 (66.7%)","7 (50.0%)","6 (50.0%)","17 (53.1%)"
"Conservative reproduction","","","",""
"  Mean (SD)","0.667 (0.516)","0.231 (0.439)","0.250 (0.452)","0.323 (0.475)"
"  Median [Min, Max]","1.00 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"  Missing","0 (0%)","1 (7.1%)","0 (0%)","1 (3.1%)"
"Liberal reproduction","","","",""
"  Mean (SD)","1.00 (0)","0.846 (0.376)","1.00 (0)","0.935 (0.250)"
"  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [0, 1.00]","1.00 [1.00, 1.00]","1.00 [0, 1.00]"
"  Missing","0 (0%)","1 (7.1%)","0 (0%)","1 (3.1%)"
