"X.","Quantitative","Mixed.Methods","Overall"
"","(N=22)","(N=10)","(N=32)"
"Proportion of results: Identically reproduce","","",""
"  All","2 (9.1%)","1 (10.0%)","3 (9.4%)"
"  Some","14 (63.6%)","6 (60.0%)","20 (62.5%)"
"  None","5 (22.7%)","3 (30.0%)","8 (25.0%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (4.5%)","0 (0%)","1 (3.1%)"
"Proportion of results: Partially reproduce","","",""
"  All","4 (18.2%)","3 (30.0%)","7 (21.9%)"
"  Some","13 (59.1%)","6 (60.0%)","19 (59.4%)"
"  None","4 (18.2%)","0 (0%)","4 (12.5%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (4.5%)","1 (10.0%)","2 (6.3%)"
"Proportion of results: Fail to reproduce","","",""
"  All","2 (9.1%)","1 (10.0%)","3 (9.4%)"
"  Some","11 (50.0%)","6 (60.0%)","17 (53.1%)"
"  None","7 (31.8%)","3 (30.0%)","10 (31.3%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","2 (9.1%)","0 (0%)","2 (6.3%)"
"Ability to access the original study's data","","",""
"  Yes, all","4 (18.2%)","0 (0%)","4 (12.5%)"
"  Yes, some","16 (72.7%)","8 (80.0%)","24 (75.0%)"
"  No","2 (9.1%)","2 (20.0%)","4 (12.5%)"
"  Did not attempt","0 (0%)","0 (0%)","0 (0%)"
"Ability to access the original study's code or analytic procedures","","",""
"  Yes, all","3 (13.6%)","0 (0%)","3 (9.4%)"
"  Yes, some","11 (50.0%)","8 (80.0%)","19 (59.4%)"
"  No","8 (36.4%)","2 (20.0%)","10 (31.3%)"
"  Did not attempt","0 (0%)","0 (0%)","0 (0%)"
"Ability to recreate the computational environment (hardware, software, etc.)","","",""
"  Yes, all","4 (18.2%)","0 (0%)","4 (12.5%)"
"  Yes, some","7 (31.8%)","8 (80.0%)","15 (46.9%)"
"  No","7 (31.8%)","2 (20.0%)","9 (28.1%)"
"  Did not attempt","4 (18.2%)","0 (0%)","4 (12.5%)"
"Ability to submit your findings for publication","","",""
"  Yes, all","1 (4.5%)","2 (20.0%)","3 (9.4%)"
"  Yes, some","1 (4.5%)","4 (40.0%)","5 (15.6%)"
"  No","5 (22.7%)","2 (20.0%)","7 (21.9%)"
"  Did not attempt","15 (68.2%)","2 (20.0%)","17 (53.1%)"
"Conservative reproduction","","",""
"  Mean (SD)","0.286 (0.463)","0.400 (0.516)","0.323 (0.475)"
"  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"  Missing","1 (4.5%)","0 (0%)","1 (3.1%)"
"Liberal reproduction","","",""
"  Mean (SD)","0.905 (0.301)","1.00 (0)","0.935 (0.250)"
"  Median [Min, Max]","1.00 [0, 1.00]","1.00 [1.00, 1.00]","1.00 [0, 1.00]"
"  Missing","1 (4.5%)","0 (0%)","1 (3.1%)"
