"X.","X0","X1","Overall"
"","(N=30)","(N=2)","(N=32)"
"Conservative reproduction","","",""
"  Mean (SD)","0.276 (0.455)","1.00 (0)","0.323 (0.475)"
"  Median [Min, Max]","0 [0, 1.00]","1.00 [1.00, 1.00]","0 [0, 1.00]"
"  Missing","1 (3.3%)","0 (0%)","1 (3.1%)"
"Liberal reproduction","","",""
"  Mean (SD)","0.931 (0.258)","1.00 (0)","0.935 (0.250)"
"  Median [Min, Max]","1.00 [0, 1.00]","1.00 [1.00, 1.00]","1.00 [0, 1.00]"
"  Missing","1 (3.3%)","0 (0%)","1 (3.1%)"
"Proportion of results: Identically reproduce","","",""
"  All","2 (6.7%)","1 (50.0%)","3 (9.4%)"
"  Some","19 (63.3%)","1 (50.0%)","20 (62.5%)"
"  None","8 (26.7%)","0 (0%)","8 (25.0%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (3.3%)","0 (0%)","1 (3.1%)"
"Proportion of results: Partially reproduce","","",""
"  All","6 (20.0%)","1 (50.0%)","7 (21.9%)"
"  Some","19 (63.3%)","0 (0%)","19 (59.4%)"
"  None","3 (10.0%)","1 (50.0%)","4 (12.5%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","2 (6.7%)","0 (0%)","2 (6.3%)"
