"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Fraud (e.g., fabricated or falsified results)","","","","",""
"  Frequently","9 (9.8%)","2 (5.0%)","5 (5.9%)","0 (0%)","16 (7.3%)"
"  Occasionally","18 (19.6%)","6 (15.0%)","22 (25.9%)","0 (0%)","46 (21.1%)"
"  Rarely","52 (56.5%)","22 (55.0%)","46 (54.1%)","1 (100%)","121 (55.5%)"
"  Never","11 (12.0%)","6 (15.0%)","5 (5.9%)","0 (0%)","22 (10.1%)"
"  Missing","2 (2.2%)","4 (10.0%)","7 (8.2%)","0 (0%)","13 (6.0%)"
"Pressure to publish for career advancement","","","","",""
"  Frequently","30 (32.6%)","9 (22.5%)","26 (30.6%)","0 (0%)","65 (29.8%)"
"  Occasionally","42 (45.7%)","10 (25.0%)","38 (44.7%)","1 (100%)","91 (41.7%)"
"  Rarely","14 (15.2%)","14 (35.0%)","14 (16.5%)","0 (0%)","42 (19.3%)"
"  Never","4 (4.3%)","3 (7.5%)","2 (2.4%)","0 (0%)","9 (4.1%)"
"  Missing","2 (2.2%)","4 (10.0%)","5 (5.9%)","0 (0%)","11 (5.0%)"
"Insufficient oversight or mentoring","","","","",""
"  Frequently","31 (33.7%)","5 (12.5%)","23 (27.1%)","0 (0%)","59 (27.1%)"
"  Occasionally","45 (48.9%)","11 (27.5%)","40 (47.1%)","0 (0%)","96 (44.0%)"
"  Rarely","11 (12.0%)","17 (42.5%)","15 (17.6%)","1 (100%)","44 (20.2%)"
"  Never","3 (3.3%)","3 (7.5%)","0 (0%)","0 (0%)","6 (2.8%)"
"  Missing","2 (2.2%)","4 (10.0%)","7 (8.2%)","0 (0%)","13 (6.0%)"
"Lack of publishing raw data","","","","",""
"  Frequently","48 (52.2%)","7 (17.5%)","28 (32.9%)","0 (0%)","83 (38.1%)"
"  Occasionally","30 (32.6%)","10 (25.0%)","41 (48.2%)","0 (0%)","81 (37.2%)"
"  Rarely","9 (9.8%)","12 (30.0%)","9 (10.6%)","1 (100%)","31 (14.2%)"
"  Never","4 (4.3%)","5 (12.5%)","1 (1.2%)","0 (0%)","10 (4.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Lack of publishing research protocols or computer code","","","","",""
"  Frequently","41 (44.6%)","9 (22.5%)","29 (34.1%)","0 (0%)","79 (36.2%)"
"  Occasionally","39 (42.4%)","6 (15.0%)","31 (36.5%)","0 (0%)","76 (34.9%)"
"  Rarely","7 (7.6%)","14 (35.0%)","16 (18.8%)","1 (100%)","38 (17.4%)"
"  Never","4 (4.3%)","5 (12.5%)","1 (1.2%)","0 (0%)","10 (4.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","8 (9.4%)","0 (0%)","15 (6.9%)"
"Lack of publishing full results","","","","",""
"  Frequently","36 (39.1%)","5 (12.5%)","28 (32.9%)","0 (0%)","69 (31.7%)"
"  Occasionally","36 (39.1%)","10 (25.0%)","34 (40.0%)","0 (0%)","80 (36.7%)"
"  Rarely","18 (19.6%)","13 (32.5%)","15 (17.6%)","1 (100%)","47 (21.6%)"
"  Never","1 (1.1%)","5 (12.5%)","2 (2.4%)","0 (0%)","8 (3.7%)"
"  Missing","1 (1.1%)","7 (17.5%)","6 (7.1%)","0 (0%)","14 (6.4%)"
