"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Definition of reproducibility","","","","","","",""
"  Mean (SD)","1.84 (1.14)","1.76 (1.10)","1.86 (1.06)","2.03 (1.07)","0 (NA)","0 (0)","1.85 (1.11)"
"  Median [Min, Max]","2.00 [0, 4.00]","2.00 [0, 4.00]","2.00 [0, 3.00]","2.00 [0, 3.00]","0 [0, 0]","0 [0, 0]","2.00 [0, 4.00]"
"  Missing","3 (4.5%)","3 (4.6%)","1 (4.5%)","2 (3.3%)","0 (0%)","0 (0%)","9 (4.1%)"
"Familiarity with reproducible practices","","","","","","",""
"  Mean (SD)","2.36 (1.36)","3.71 (0.980)","2.82 (1.76)","3.97 (0.856)","3.00 (NA)","2.00 (1.41)","3.26 (1.36)"
"  Median [Min, Max]","2.00 [0, 5.00]","4.00 [2.00, 5.00]","3.00 [0, 5.00]","4.00 [2.00, 5.00]","3.00 [3.00, 3.00]","2.00 [1.00, 3.00]","3.50 [0, 5.00]"
"Experience with reproducible practices","","","","","","",""
"  Mean (SD)","0.597 (0.799)","2.06 (1.18)","1.18 (0.958)","1.85 (1.38)","0 (NA)","0.500 (0.707)","1.44 (1.28)"
"  Median [Min, Max]","0 [0, 3.00]","2.00 [0, 5.00]","1.00 [0, 3.00]","2.00 [0, 4.00]","0 [0, 0]","0.500 [0, 1.00]","1.00 [0, 5.00]"
"Barriers to reproducibility","","","","","","",""
"  Mean (SD)","7.32 (3.57)","8.31 (3.00)","7.44 (3.20)","9.31 (2.79)","8.00 (NA)","1.00 (NA)","8.20 (3.24)"
"  Median [Min, Max]","8.00 [0, 12.0]","9.00 [0, 12.0]","8.00 [1.00, 12.0]","10.0 [0, 12.0]","8.00 [8.00, 8.00]","1.00 [1.00, 1.00]","9.00 [0, 12.0]"
"  Missing","14 (20.9%)","4 (6.2%)","4 (18.2%)","6 (9.8%)","0 (0%)","1 (50.0%)","29 (13.3%)"
