"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Definition of reproducibility","","","","",""
"  Mean (SD)","1.96 (1.11)","1.69 (1.26)","1.82 (1.04)","0 (NA)","1.85 (1.11)"
"  Median [Min, Max]","2.00 [0, 4.00]","2.00 [0, 4.00]","2.00 [0, 4.00]","0 [0, 0]","2.00 [0, 4.00]"
"  Missing","3 (3.3%)","4 (10.0%)","2 (2.4%)","0 (0%)","9 (4.1%)"
"Familiarity with reproducible practices","","","","",""
"  Mean (SD)","3.75 (0.979)","1.75 (1.30)","3.46 (1.22)","1.00 (NA)","3.26 (1.36)"
"  Median [Min, Max]","4.00 [1.00, 5.00]","2.00 [0, 5.00]","4.00 [0, 5.00]","1.00 [1.00, 1.00]","3.50 [0, 5.00]"
"Experience with reproducible practices","","","","",""
"  Mean (SD)","1.63 (1.32)","0.475 (0.679)","1.69 (1.24)","1.00 (NA)","1.44 (1.28)"
"  Median [Min, Max]","2.00 [0, 4.00]","0 [0, 3.00]","2.00 [0, 5.00]","1.00 [1.00, 1.00]","1.00 [0, 5.00]"
"Barriers to reproducibility","","","","",""
"  Mean (SD)","8.78 (2.80)","5.97 (3.83)","8.58 (2.96)","1.00 (NA)","8.20 (3.24)"
"  Median [Min, Max]","9.00 [0, 12.0]","7.00 [0, 12.0]","9.00 [1.00, 12.0]","1.00 [1.00, 1.00]","9.00 [0, 12.0]"
"  Missing","6 (6.5%)","9 (22.5%)","14 (16.5%)","0 (0%)","29 (13.3%)"
