"","Q3_recoded","Q4","Q5","Q6"
"1","Human geography","Quantitative","To a great extent","The ability to conduct the same research as under taken previously by other researchers in terms of data and methods"
"2","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Data/observations of some variable can be recovered repeatedly by different observers/methods"
"3","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Methods and algorithms must be reproducible, i.e. lead to identical results"
"4","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Reproducibility refers to the ability of peers to replicate the results of a research study. The results should be reproducible within a small margin of error if a peer follows the same methods outlined by the authors of the original research."
"5","Human geography","Quantitative","To a great extent","Any findings I produce through my research should be replicable by other scholars"
"6","Human geography","Quantitative","To a great extent","Making your code and data available and explaining how you got there so that someone could carry out your research."
"7","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Reproducibility is related to but is not the same as replication.  In a computational context, it means that someone else can reproduce the workflow of a given study by a sufficiently clear description of the method and the provision of code, data, etc.  This will also allow verification - that the software does what it is intended to do."
"8","Human geography","Quantitative","To a great extent","That someone else can reproduce the results of a published study."
"9","Human geography","Quantitative","To a great extent","Others are able to attempt to reproduce my findings in a published journal article give access to data and code."
"10","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Someone else being able to reproduce the findings using the methodology provided"
"11","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","The effects of a proposed method or technique can observed by others and it can be implemented in real scenario."
"12","Physical geography, earth and environmental sciences","Quantitative","To a great extent","An ability to produce consistent results when an experiment is repeated!"
"13","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Sharing data and code when submitting papers to journals. Drawing figures with code instead of softwares."
"14","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Any research or study published publicly should provide enough information so that other experts in the field can reproduce the reported results or perform the proposed study for their area of interest."
"15","Physical geography, earth and environmental sciences","Quantitative","To a great extent","For me, reproducibility means that I describe the methods and data used for gaining my results in such a way that someone else can analyse the data following this description and will yield the same results."
"16","Nature and society","Quantitative","To a great extent","Ensuring that research is replicable."
"17","Human geography","Quantitative","To a great extent","The ability to reproduce a certain task or method, using only the information provided in the methods section."
"18","Human geography","Quantitative","To a great extent","My reporting about the research should be so transparent that other researchers would be able to do the same research and check their results against mine. If possible the data I collected/used should be made available to the public so as to allow a replication study."
